"Vehicle Category and Month Wise Data for Andaman & Nicobar Island (2022-2024)"\n\nVehicle Category,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
FOUR WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HEAVY GOODS VEHICLE,5,5,6,10,5,12,7,9,7,8,3,2,2,1,8,2,1,7,3,23,8,2,4,6,0,14,5,5,14,17,8,6,2,11,3,1,232
HEAVY MOTOR VEHICLE,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9
HEAVY PASSENGER VEHICLE,0,0,0,0,0,0,0,0,0,0,1,0,0,1,14,0,0,0,0,0,1,0,1,0,2,0,2,0,21,0,0,4,0,1,1,2,51
LIGHT GOODS VEHICLE,20,11,21,30,29,15,29,33,33,27,42,20,39,31,42,16,20,21,17,23,26,13,27,16,22,22,23,18,11,6,20,8,13,14,22,26,806
LIGHT MOTOR VEHICLE,87,109,106,144,108,106,122,149,121,140,156,221,147,144,153,122,151,130,149,147,133,155,140,131,146,129,125,125,154,123,198,138,134,176,155,157,5031
LIGHT PASSENGER VEHICLE,2,3,1,2,3,9,7,7,6,6,5,15,19,9,18,9,10,11,21,42,24,46,42,54,36,57,34,40,24,10,13,46,60,41,85,59,876
MEDIUM GOODS VEHICLE,3,0,0,1,1,1,3,2,0,0,0,1,1,0,1,0,0,0,0,1,1,1,2,0,0,1,0,0,0,1,0,0,0,1,1,0,23
MEDIUM MOTOR VEHICLE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,12
MEDIUM PASSENGER VEHICLE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,5
OTHER THAN MENTIONED ABOVE,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,3,0,3,0,2,16
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(T),20,22,18,18,6,13,14,15,21,22,26,45,34,60,156,47,35,62,62,92,43,51,41,32,27,22,17,14,7,5,6,10,9,13,5,6,1096
TWO WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
TWO WHEELER(NT),333,385,383,410,358,425,386,396,483,408,390,379,374,347,371,318,435,368,414,457,371,385,588,416,468,459,437,439,505,442,535,481,392,530,429,469,15166
TWO WHEELER(T),1,0,0,0,0,0,0,0,0,0,16,15,0,0,5,6,5,5,11,20,10,19,10,15,19,17,10,25,4,0,1,14,6,15,5,5,259
Total,471,535,535,616,510,581,568,613,674,611,639,698,616,596,769,521,659,604,680,811,618,672,857,671,720,722,653,670,741,605,784,710,616,805,706,728,23585
