"Vehicle Category and Month Wise Data for Andhra Pradesh (2019-2021)"\n\nVehicle Category,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec,Total
FOUR WHEELER (Invalid Carriage),10,9,17,22,12,16,12,2,4,6,7,5,13,6,22,94,0,1,2,3,2,2,8,5,5,9,2,6,3,7,9,2,5,4,6,5,343
HEAVY GOODS VEHICLE,1558,2777,2104,1156,1019,833,727,684,497,505,524,499,582,749,900,62,4,16,46,141,162,219,263,450,578,658,851,738,303,315,440,556,581,547,416,456,22916
HEAVY MOTOR VEHICLE,15,25,25,20,10,19,15,17,17,17,11,11,12,14,29,10,0,3,4,4,3,5,6,11,8,9,10,7,1,6,11,7,16,10,12,8,408
HEAVY PASSENGER VEHICLE,196,160,191,146,165,97,96,90,82,125,136,122,47,93,565,45,1,4,2,0,3,6,10,9,12,5,28,9,1,2,1,9,6,6,3,14,2487
LIGHT GOODS VEHICLE,1466,1854,1745,1303,1308,1304,1141,1238,1121,1843,1344,1113,1337,1597,2095,79,98,554,654,918,1220,1552,1443,1368,1602,1458,1735,1310,696,987,1322,1341,1088,2296,1979,1247,46756
LIGHT MOTOR VEHICLE,12403,12254,12167,8926,9146,8697,7922,7960,6987,10709,9716,8877,10491,9361,9991,1510,2085,7182,7049,9279,9608,11665,12959,11061,21161,11191,11660,11015,8120,9447,11793,11226,10563,10428,9982,8477,353068
LIGHT PASSENGER VEHICLE,1563,2272,2424,1537,1204,1392,1254,1062,773,1345,1124,901,1015,1170,1231,165,537,1054,778,917,948,1353,1327,1162,1380,1205,1441,1321,821,1307,1600,1082,1047,1797,1481,1035,44025
MEDIUM GOODS VEHICLE,99,118,128,97,79,83,68,82,59,92,69,63,102,83,114,9,0,5,17,36,57,70,70,69,71,66,89,85,47,34,45,79,63,67,76,52,2443
MEDIUM MOTOR VEHICLE,50,65,60,60,51,43,16,26,35,89,104,120,82,82,84,19,23,37,12,47,25,49,68,65,60,40,32,48,17,18,36,40,52,65,100,80,1900
MEDIUM PASSENGER VEHICLE,43,44,102,88,123,417,115,79,73,63,34,23,18,43,138,5,0,0,18,9,10,11,20,4,22,17,20,7,14,18,19,17,16,12,26,13,1681
OTHER THAN MENTIONED ABOVE,34,91,328,200,204,277,120,45,28,25,30,207,101,95,83,87,1,5,61,116,142,49,21,107,52,85,137,126,61,147,181,82,68,40,47,12,3495
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),1244,1480,1474,1094,1230,1376,1227,1329,1347,2638,1711,1170,1346,1581,1196,12,67,268,188,250,410,1179,691,617,782,822,750,442,83,153,233,317,331,671,423,383,30515
THREE WHEELER(T),2639,3724,3926,3075,3491,4181,3346,3603,3440,6568,4126,3023,3641,3955,2954,25,210,730,584,796,1106,2105,1601,1409,1758,1662,1920,1543,519,890,1254,1365,1376,2143,1441,1106,81235
TWO WHEELER (Invalid Carriage),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
TWO WHEELER(NT),70243,72382,77352,89917,83852,73098,74167,69852,54525,127445,72600,47678,76970,77510,83542,9367,29842,72613,52215,73115,76929,110087,100049,63680,82878,68253,65647,64497,42014,54302,59258,59263,52437,89087,66537,43176,2486379
TWO WHEELER(T),8,28,29,17,34,21,12,35,5,45,8,85,34,33,58,1,2,5,2,3,19,5,4,4,6,21,510,113,2,3,1,9,9,19,10,13,1213
Total,91571,97283,102073,107658,101928,91854,90238,86104,68993,151515,91544,63897,95791,96372,103002,11490,32870,82477,61632,85634,90644,128357,118541,80021,110375,85501,84832,81267,52702,67636,76203,75395,67658,107192,82539,56077,3078866
