"Vehicle Category and Month Wise Data for Arunachal Pradesh (2025-2026)"\n\nVehicle Category,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
FOUR WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEAVY GOODS VEHICLE,49,60,69,49,75,51,38,47,35,66,63,88,95,121,87,65,56,47,50,53,22,1286
HEAVY MOTOR VEHICLE,8,9,4,18,12,20,8,12,10,9,3,5,11,8,13,5,5,3,5,1,3,172
HEAVY PASSENGER VEHICLE,132,81,97,156,167,67,84,216,164,195,127,79,28,191,82,58,78,41,60,45,5,2153
LIGHT GOODS VEHICLE,199,210,212,218,219,273,229,167,159,248,220,229,202,231,258,227,251,266,308,226,34,4586
LIGHT MOTOR VEHICLE,1254,1068,1247,1373,1415,1522,1718,1446,1261,1679,1562,1701,1673,1540,1758,1749,1726,1816,1728,1542,230,31008
LIGHT PASSENGER VEHICLE,22,23,30,30,49,65,46,50,30,45,49,39,4,12,7,41,44,61,59,34,11,751
MEDIUM GOODS VEHICLE,7,13,15,15,6,5,6,10,7,9,23,17,24,23,17,27,13,15,11,9,10,282
MEDIUM MOTOR VEHICLE,3,1,4,1,1,3,0,1,1,0,0,1,0,1,0,2,1,0,2,0,0,22
MEDIUM PASSENGER VEHICLE,1,1,2,2,4,3,7,16,5,3,4,0,0,2,0,2,1,4,2,4,0,63
OTHER THAN MENTIONED ABOVE,47,39,32,40,48,61,22,22,18,19,28,33,37,33,43,43,43,45,30,31,8,722
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
THREE WHEELER(T),5,11,5,8,14,17,12,5,12,7,11,9,10,9,10,9,11,8,14,6,0,193
TWO WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWO WHEELER(NT),1192,1130,1139,1403,1300,1407,1992,1809,1346,1695,1505,1234,1392,1225,1247,1612,1478,1637,1630,1601,247,29221
TWO WHEELER(T),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,2920,2646,2856,3313,3310,3494,4162,3801,3048,3975,3595,3435,3476,3396,3522,3840,3707,3943,3899,3552,570,70460
