"Vehicle Category and Month Wise Data for Assam (2019-2021)"\n\nVehicle Category,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec,Total
FOUR WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3
HEAVY GOODS VEHICLE,630,602,679,456,430,382,384,388,471,460,554,351,430,748,1004,9,16,70,62,77,166,207,241,387,400,404,533,428,80,235,208,251,325,346,377,445,13236
HEAVY MOTOR VEHICLE,19,14,17,6,13,8,7,5,4,13,14,7,9,14,16,13,6,6,3,2,5,9,9,15,3,5,8,7,6,11,10,10,4,3,5,1,307
HEAVY PASSENGER VEHICLE,51,57,36,46,20,47,40,65,65,47,45,39,66,69,65,3,0,1,0,0,3,4,28,10,2,16,34,40,3,11,18,18,22,9,13,12,1005
LIGHT GOODS VEHICLE,2317,3240,2896,2125,2701,2276,2024,1913,2105,2208,2700,1688,2054,3298,4410,185,1173,2492,1523,1839,2119,2108,2246,2357,2213,2377,2208,1827,844,1216,1637,1596,1557,1541,1900,2195,75108
LIGHT MOTOR VEHICLE,5652,5200,5549,5804,6153,5263,5384,5142,6250,7693,6303,4575,5545,5734,5840,78,2351,4856,4084,5479,7034,8908,7474,7725,6477,7120,7520,6594,3410,3942,5085,6501,6117,5871,5574,6649,204936
LIGHT PASSENGER VEHICLE,360,473,476,441,646,459,453,451,417,498,446,260,263,307,304,8,16,48,37,46,82,110,103,100,87,203,145,84,47,39,78,100,74,90,110,189,8050
MEDIUM GOODS VEHICLE,85,122,143,101,85,78,72,79,119,131,199,161,157,211,199,7,30,70,50,50,102,149,157,218,191,165,193,109,19,87,69,37,40,32,30,41,3788
MEDIUM MOTOR VEHICLE,2,3,6,2,2,5,3,2,2,1,7,2,7,6,9,0,9,4,13,2,7,4,3,5,2,1,9,5,0,1,2,10,13,9,3,1,162
MEDIUM PASSENGER VEHICLE,25,40,26,19,52,34,62,29,61,41,34,12,34,29,31,11,0,0,0,4,8,15,0,1,4,22,26,22,3,4,7,8,6,6,6,18,700
OTHER THAN MENTIONED ABOVE,27,36,33,16,19,15,13,15,17,26,30,17,18,37,68,0,7,17,26,19,27,25,18,34,31,48,51,31,2,7,25,65,136,131,137,140,1364
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),2,0,1,1,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11
THREE WHEELER(T),1314,1827,2384,1985,2606,2364,2500,2370,2495,2760,2894,1813,1692,2819,2933,57,190,1123,886,1126,1195,1614,1567,1698,1468,1618,2260,1775,644,646,1302,1441,1923,2389,2428,3282,65388
TWO WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWO WHEELER(NT),26704,32468,35848,32839,37331,33605,28390,29802,30432,38405,32826,18575,26752,29971,35353,1097,7830,18430,16680,20877,29630,36931,35028,32924,40008,33141,33333,30331,14705,22575,22514,25084,24426,32131,29564,28377,1004917
TWO WHEELER(T),0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,7
Total,37188,44082,48094,43841,50061,44537,39333,40261,42438,52284,46053,27500,37029,43243,50232,1468,11628,27118,23364,29521,40378,50084,46874,45475,50888,45120,46320,41253,19763,28775,30957,35121,34643,42559,40147,41350,1378982
