"Vehicle Category and Month Wise Data for Bihar (2022-2024)"\n\nVehicle Category,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
FOUR WHEELER (Invalid Carriage),2,0,1,0,2,3,2,0,1,2,0,2,0,2,1,0,2,3,1,0,4,3,1,1,0,0,0,1,2,1,0,0,0,0,0,0,37
HEAVY GOODS VEHICLE,262,260,389,470,325,434,243,304,304,322,434,327,547,555,589,548,561,482,524,518,767,725,624,720,847,893,1044,1170,800,747,595,613,798,1121,1099,867,21828
HEAVY MOTOR VEHICLE,4,9,6,12,16,23,19,11,12,9,11,8,13,13,18,16,23,19,11,10,12,18,15,20,10,26,33,19,31,18,22,13,16,23,23,41,603
HEAVY PASSENGER VEHICLE,43,32,71,60,68,60,55,64,38,55,69,47,92,54,96,70,51,24,26,25,19,31,26,27,36,25,35,43,36,53,7,29,29,75,29,35,1635
LIGHT GOODS VEHICLE,3491,2990,4257,2921,3187,3517,3827,3527,4280,4041,4620,3112,3348,3284,3406,3104,3106,3266,3212,2539,2849,2708,3254,3062,2622,2389,2733,2419,2888,2665,2619,2445,2582,2777,3320,2820,113187
LIGHT MOTOR VEHICLE,7181,6744,8253,6982,7577,6856,6888,6341,7534,9736,8909,6394,7815,7636,8090,7214,8546,8543,7381,6497,6751,7883,11313,6723,8468,8212,8378,8083,7319,7331,8104,6783,6472,11820,9714,6419,280890
LIGHT PASSENGER VEHICLE,185,174,290,255,263,536,485,750,326,233,227,182,225,229,315,351,321,299,344,297,381,322,316,227,327,323,408,466,441,317,382,373,399,495,452,449,12365
MEDIUM GOODS VEHICLE,16,13,29,24,21,15,20,16,28,11,13,19,26,21,16,16,17,23,12,9,22,24,23,18,22,35,31,39,23,15,31,15,16,30,27,15,751
MEDIUM MOTOR VEHICLE,99,88,78,75,68,88,68,50,119,130,138,78,89,99,113,97,93,87,55,45,155,109,123,96,101,106,129,102,92,89,48,49,151,123,109,69,3408
MEDIUM PASSENGER VEHICLE,11,19,33,33,25,51,30,46,58,26,37,33,37,67,121,119,69,88,95,61,148,65,57,54,79,99,78,105,87,73,80,85,83,64,82,81,2379
OTHER THAN MENTIONED ABOVE,35,32,19,29,14,11,32,22,73,31,72,107,47,76,133,53,51,106,20,9,19,28,45,24,25,36,99,57,34,38,19,22,44,51,78,38,1629
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(T),4477,4089,5856,4073,4701,4934,5368,7205,9540,7360,7248,7369,6025,6902,7385,6039,7043,7944,9660,10102,12413,13191,10827,10571,9550,8622,9188,7807,9773,9781,11341,11593,12199,12040,10072,8833,301121
TWO WHEELER (Invalid Carriage),0,0,0,0,1,1,1,1,0,0,1,3,0,6,3,0,1,1,0,0,2,0,0,2,2,0,1,0,1,0,1,0,0,0,0,2,30
TWO WHEELER(NT),51393,59761,85168,82438,113037,79780,62786,64583,54375,88910,110783,60443,64000,77935,92350,84329,125487,90982,69623,58386,65178,65176,149963,91096,71534,83478,103081,123830,95168,94151,86694,66467,60820,87817,192586,60158,3073746
TWO WHEELER(T),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,40,0,40,21,106
Total,67199,74211,104450,97372,129305,96309,79824,82920,76688,110866,132562,78124,82264,96879,112636,101956,145371,111867,90964,78498,88720,90283,176587,112646,93623,104244,125238,144141,116695,115279,109943,88487,83649,116436,217631,79848,3813715
