"Vehicle Category and Month Wise Data for Bihar (2025-2026)"\n\nVehicle Category,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
FOUR WHEELER (Invalid Carriage),0,1,1,4,3,2,1,3,3,0,1,4,1,1,2,0,1,0,0,0,0,28
HEAVY GOODS VEHICLE,1186,1203,1587,1529,913,685,727,805,634,1334,1152,1150,1232,1370,1339,1290,817,666,780,727,120,21246
HEAVY MOTOR VEHICLE,31,20,34,18,30,29,34,36,9,51,16,27,20,4,10,4,5,3,1,1,1,384
HEAVY PASSENGER VEHICLE,50,23,59,33,62,39,27,92,56,74,41,50,59,144,152,84,84,44,118,80,6,1377
LIGHT GOODS VEHICLE,3009,2405,2738,2332,2860,3077,3025,2198,1103,4205,3718,3198,3702,3386,3113,3028,3286,3632,3697,2782,370,60864
LIGHT MOTOR VEHICLE,9598,7987,8430,8419,8686,8670,8707,6436,3567,18148,12491,9340,12620,10885,10899,10945,10808,11479,11293,9275,1094,199777
LIGHT PASSENGER VEHICLE,528,523,764,701,792,516,613,559,324,895,587,513,824,925,906,1002,877,741,847,751,120,14308
MEDIUM GOODS VEHICLE,38,30,57,59,33,35,37,45,25,71,73,65,165,95,99,96,99,114,116,77,16,1445
MEDIUM MOTOR VEHICLE,119,84,91,81,88,117,65,55,52,155,193,89,70,38,38,42,34,12,5,3,0,1431
MEDIUM PASSENGER VEHICLE,119,153,298,164,108,87,77,90,22,86,103,60,115,170,141,152,111,117,102,73,15,2363
OTHER THAN MENTIONED ABOVE,61,80,108,144,74,82,19,37,28,54,124,94,113,182,234,162,161,99,90,150,32,2128
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(T),9397,8347,8714,7432,8774,9359,10827,10050,6671,15406,12553,12101,10785,9722,9208,9833,10699,11709,13211,12963,2144,209905
TWO WHEELER (Invalid Carriage),0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
TWO WHEELER(NT),68435,82030,91974,113490,129465,95502,71550,60205,44701,197279,196145,66970,89457,102297,115505,136921,118597,104406,85092,77453,10740,2058214
TWO WHEELER(T),40,1,135,0,0,0,0,0,0,0,2,0,0,41,10,0,0,0,20,1,0,250
Total,92611,102887,114992,134407,151888,118200,95709,80611,57195,237758,227199,93661,119163,129260,141656,163559,145579,133022,115372,104336,14658,2573723
