"Vehicle Category and Month Wise Data for Chhattisgarh (2016-2018)"\n\nVehicle Category,2016-Jan,2016-Feb,2016-Mar,2016-Apr,2016-May,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Oct,2016-Nov,2016-Dec,2017-Jan,2017-Feb,2017-Mar,2017-Apr,2017-May,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Oct,2017-Nov,2017-Dec,2018-Jan,2018-Feb,2018-Mar,2018-Apr,2018-May,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Oct,2018-Nov,2018-Dec,Total
FOUR WHEELER (Invalid Carriage),0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,1,0,2,1,0,11
HEAVY GOODS VEHICLE,881,922,890,779,577,513,379,334,516,752,778,502,768,1032,1843,721,330,546,672,524,894,899,1156,1154,1430,1294,1503,1565,1087,955,819,595,705,1361,1310,974,31960
HEAVY MOTOR VEHICLE,6,5,3,1,3,1,1,2,6,0,3,3,4,1,9,4,1,4,2,1,1,3,4,1,1,0,2,3,11,1,2,0,2,4,4,5,104
HEAVY PASSENGER VEHICLE,31,29,48,36,41,52,53,44,47,58,24,35,66,50,51,50,48,34,28,54,34,24,36,27,40,37,55,48,14,34,30,20,19,14,27,37,1375
LIGHT GOODS VEHICLE,1843,1863,1567,900,975,1046,1112,886,914,1239,1507,1518,1387,1379,1948,1360,1040,1287,1147,1111,1325,1640,2166,1933,2182,1911,2135,1563,1486,1559,1634,1220,734,948,1392,1258,51115
LIGHT MOTOR VEHICLE,5566,4529,4241,3708,3688,4199,4410,3980,3313,5714,5584,4786,5223,4179,4811,4118,4625,4981,5114,4698,4875,6285,6200,4760,6211,4923,5572,4349,4634,5138,5515,4527,3035,4528,6155,6327,174501
LIGHT PASSENGER VEHICLE,97,100,105,117,115,133,152,210,115,105,90,99,88,149,194,211,172,192,170,176,164,166,147,121,162,143,154,144,141,199,228,177,79,145,132,142,5234
MEDIUM GOODS VEHICLE,35,39,24,36,18,22,18,7,21,39,24,26,27,37,40,28,9,11,13,21,17,31,23,32,72,40,35,24,29,53,34,16,16,37,38,49,1041
MEDIUM MOTOR VEHICLE,0,0,5,1,2,0,1,3,0,1,1,1,2,0,3,0,0,5,3,3,2,5,7,7,3,6,8,2,4,12,14,17,2,3,7,7,137
MEDIUM PASSENGER VEHICLE,14,14,7,30,29,29,26,35,16,14,34,18,32,21,50,25,16,48,30,31,19,9,18,16,18,29,42,43,19,46,43,46,21,24,21,21,954
OTHER THAN MENTIONED ABOVE,238,162,96,59,81,84,83,80,80,112,128,157,122,128,161,112,144,171,118,89,104,153,176,227,222,191,262,203,169,158,211,154,94,43,164,152,5088
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,5,4,2,6,7,5,15,23,14,2,1,2,1,94
THREE WHEELER(T),409,426,425,359,356,439,395,369,390,430,431,373,443,416,802,504,277,304,354,345,380,407,546,411,485,368,468,293,351,424,517,358,344,424,575,499,15097
TWO WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
TWO WHEELER(NT),35805,31567,30062,29071,31280,29935,28521,25486,24354,36640,50279,29159,31870,31603,52953,39561,29430,34540,27259,28061,28015,61884,57356,35640,44274,36948,39515,35076,38785,38989,38476,30613,28546,39951,64104,38810,1314418
TWO WHEELER(T),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,6
Total,44925,39656,37474,35097,37165,36453,35152,31436,29772,45104,58884,36677,40032,38995,62865,46694,36093,42124,34910,35115,35832,71510,67837,44334,55104,45892,49757,43321,46738,47583,47547,37758,33601,47485,73932,48282,1601136
