"Vehicle Category and Month Wise Data for Chandigarh (2019-2021)"\n\nVehicle Category,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec,Total
FOUR WHEELER (Invalid Carriage),0,3,1,1,2,0,1,0,1,5,2,2,2,2,2,0,0,3,4,3,5,4,2,3,5,1,2,5,0,3,2,2,5,2,6,3,84
HEAVY GOODS VEHICLE,10,3,9,3,7,2,16,6,11,3,0,3,2,5,13,13,0,0,0,0,8,4,4,3,12,13,22,16,7,5,10,4,8,24,29,10,285
HEAVY MOTOR VEHICLE,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,9
HEAVY PASSENGER VEHICLE,0,7,18,22,14,4,36,14,4,19,2,2,2,3,15,6,0,0,0,0,1,1,2,2,0,0,0,1,4,0,0,0,0,2,10,30,221
LIGHT GOODS VEHICLE,46,53,55,44,59,44,43,146,66,57,50,71,49,77,116,67,0,0,3,12,46,22,20,43,160,249,46,55,75,32,50,32,39,55,55,38,2075
LIGHT MOTOR VEHICLE,1017,2584,1252,1851,1323,1209,1402,1323,660,2517,1181,2068,1555,1633,1290,55,270,842,1126,1197,1051,1712,1641,1994,1617,1592,2143,1413,410,2053,1910,1847,1602,1811,1906,1970,53027
LIGHT PASSENGER VEHICLE,20,16,18,15,10,18,14,19,13,6,11,5,13,26,29,13,0,0,4,6,2,5,12,3,4,2,9,6,12,5,11,4,16,13,11,14,385
MEDIUM GOODS VEHICLE,3,4,1,1,5,6,3,3,6,4,5,0,2,4,5,10,0,0,0,0,4,2,1,5,3,5,1,4,10,1,10,4,6,1,5,5,129
MEDIUM MOTOR VEHICLE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,6
MEDIUM PASSENGER VEHICLE,1,2,16,3,2,8,5,6,4,5,2,3,3,6,9,7,0,1,0,0,2,1,1,2,1,0,1,0,1,0,0,0,0,1,1,0,94
OTHER THAN MENTIONED ABOVE,0,0,0,2,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,15
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(T),36,26,42,30,24,169,39,134,38,45,42,76,47,40,80,63,0,15,21,61,101,54,38,41,32,31,63,53,19,36,61,45,45,94,60,61,1862
TWO WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,4
TWO WHEELER(NT),914,2768,1670,2188,2100,1778,2158,2524,1232,4733,1882,1858,1697,1790,1806,23,461,1051,1146,1060,1017,1609,2220,1094,1357,1361,1841,1196,405,1314,1282,1383,1164,1795,2077,1243,57197
TWO WHEELER(T),0,1,0,0,0,0,0,0,0,0,5,0,0,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14
Total,2048,5467,3082,4160,3546,3238,3717,4175,2036,7394,3182,4089,3378,3588,3368,262,731,1912,2304,2340,2240,3416,3941,3191,3192,3255,4129,2752,943,3450,3337,3322,2887,3801,4160,3374,115407
