"Vehicle Category and Month Wise Data for Chandigarh (2025-2026)"\n\nVehicle Category,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
FOUR WHEELER (Invalid Carriage),13,13,16,16,10,9,15,10,8,13,21,7,23,10,14,18,15,21,17,19,7,295
HEAVY GOODS VEHICLE,2,4,9,22,5,3,5,7,13,9,3,5,8,8,11,37,2,10,8,7,0,178
HEAVY MOTOR VEHICLE,2,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
HEAVY PASSENGER VEHICLE,9,5,12,47,14,15,8,6,23,61,14,37,17,18,36,62,20,55,36,6,0,501
LIGHT GOODS VEHICLE,66,68,68,56,66,43,47,30,50,44,55,64,50,53,52,60,56,85,48,48,6,1115
LIGHT MOTOR VEHICLE,1952,1232,2140,1709,1344,1799,1701,1531,1879,1982,2101,2071,2212,1728,2322,2024,1578,2462,1873,1923,287,37850
LIGHT PASSENGER VEHICLE,53,48,54,43,81,73,74,54,44,28,43,42,30,32,52,43,49,102,46,28,4,1023
MEDIUM GOODS VEHICLE,3,15,5,6,8,4,10,7,8,3,2,10,7,13,6,3,4,8,4,1,2,129
MEDIUM MOTOR VEHICLE,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
MEDIUM PASSENGER VEHICLE,5,5,10,2,7,12,15,20,5,3,3,7,5,4,4,3,5,10,7,4,2,138
OTHER THAN MENTIONED ABOVE,2,0,0,4,0,2,0,0,0,0,0,0,7,1,2,4,6,0,1,2,0,31
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(T),302,194,141,139,179,170,173,179,158,193,162,167,153,160,148,152,159,167,154,205,35,3490
TWO WHEELER (Invalid Carriage),1,7,2,2,1,4,2,4,2,7,3,2,1,4,3,4,7,4,5,3,2,70
TWO WHEELER(NT),1818,1570,1760,1837,1770,1757,2285,2096,2116,3904,2656,1740,2308,2017,2294,2179,2264,2235,2502,2329,317,43754
TWO WHEELER(T),3,5,0,3,0,0,0,4,5,1,9,0,6,4,2,0,17,25,13,1,2,100
Total,4231,3166,4220,3887,3485,3891,4335,3949,4311,6249,5072,4152,4827,4053,4946,4589,4182,5184,4714,4576,664,88683
