"Vehicle Category and Month Wise Data for UT of DNH and DD (2019-2021)"\n\nVehicle Category,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec,Total
FOUR WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEAVY GOODS VEHICLE,98,126,121,128,87,98,116,64,114,110,116,72,103,98,119,15,0,2,0,9,16,68,60,52,130,141,181,201,44,38,82,158,212,253,294,236,3762
HEAVY MOTOR VEHICLE,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,8
HEAVY PASSENGER VEHICLE,14,11,5,12,4,2,7,4,6,14,8,7,10,7,23,5,0,0,0,0,1,0,1,5,1,0,1,0,0,0,5,3,0,3,0,0,159
LIGHT GOODS VEHICLE,50,62,58,44,49,34,36,25,45,59,64,47,47,8,96,14,0,3,16,24,33,39,58,27,37,38,31,29,26,40,26,38,43,44,39,47,1376
LIGHT MOTOR VEHICLE,326,424,346,273,334,291,293,235,260,471,506,317,373,107,617,46,34,96,139,216,257,341,489,338,368,360,362,279,198,231,274,319,352,332,350,330,10884
LIGHT PASSENGER VEHICLE,10,29,13,20,13,15,20,16,14,13,17,18,22,15,19,10,0,1,7,2,4,7,6,7,5,4,9,3,7,6,9,7,15,5,17,8,393
MEDIUM GOODS VEHICLE,14,31,38,16,15,11,21,18,34,38,21,13,17,25,29,3,0,0,1,1,4,11,12,16,20,19,29,9,4,3,8,9,14,12,24,11,551
MEDIUM MOTOR VEHICLE,0,1,1,0,1,2,0,0,0,0,0,0,3,0,6,1,0,2,1,2,3,3,0,5,6,2,3,4,1,0,1,1,6,1,1,1,58
MEDIUM PASSENGER VEHICLE,1,3,2,1,8,0,4,0,2,10,4,0,4,2,11,2,0,0,0,4,3,1,0,3,2,1,2,1,0,3,3,1,1,3,0,1,83
OTHER THAN MENTIONED ABOVE,5,7,9,2,7,10,7,5,8,3,1,6,4,0,3,0,0,0,0,0,1,4,0,1,2,3,0,5,4,3,1,4,0,2,3,3,113
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,1,12
THREE WHEELER(T),6,36,11,7,9,8,9,4,5,11,18,18,6,4,10,2,1,1,2,1,3,1,1,1,1,4,5,6,3,2,0,3,4,0,4,10,217
TWO WHEELER (Invalid Carriage),0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
TWO WHEELER(NT),1087,1204,917,940,836,869,1104,676,741,972,1201,950,1258,81,1759,658,15,158,499,894,814,703,901,1040,1574,1059,856,655,450,623,705,581,667,628,938,1097,30110
TWO WHEELER(T),0,0,0,0,0,0,0,0,0,0,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Total,1611,1934,1521,1443,1363,1341,1618,1048,1229,1702,1963,1448,1849,364,2694,756,50,263,665,1153,1139,1178,1529,1497,2146,1631,1479,1192,738,949,1115,1124,1314,1285,1672,1746,47749
