"Vehicle Category and Month Wise Data for Delhi (2022-2024)"\n\nVehicle Category,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
FOUR WHEELER (Invalid Carriage),13,14,13,7,13,8,13,9,8,17,8,14,12,8,16,8,9,21,22,7,10,7,14,17,15,10,12,14,18,16,17,15,12,33,11,11,472
HEAVY GOODS VEHICLE,177,169,195,196,179,161,95,100,96,83,68,79,186,89,91,109,88,67,39,93,49,80,115,79,99,83,95,149,112,112,183,72,92,93,86,50,3909
HEAVY MOTOR VEHICLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEAVY PASSENGER VEHICLE,41,118,49,166,122,82,97,88,72,76,60,40,59,23,41,55,110,161,71,89,115,149,88,349,215,33,13,56,38,24,200,95,210,180,54,41,3480
LIGHT GOODS VEHICLE,1714,1626,2031,2044,1478,1619,1712,1907,1945,1930,2072,1625,2236,1546,1589,1720,1445,1208,1221,1420,1371,1437,1461,969,1639,1361,1280,1167,1123,1068,1048,1062,1118,1662,1541,942,54337
LIGHT MOTOR VEHICLE,13362,12362,13164,15307,14484,14695,15588,15881,13731,17966,15434,14644,17728,14648,17480,14443,16029,15194,14987,15888,15849,16348,18639,16245,21352,16532,15213,16459,14168,14445,16014,13529,9764,22905,13832,14088,558397
LIGHT PASSENGER VEHICLE,282,233,185,506,698,182,453,416,345,642,500,844,379,201,1193,447,630,716,765,417,342,556,497,512,1596,701,1077,631,708,589,563,431,393,535,380,351,19896
MEDIUM GOODS VEHICLE,248,270,280,291,199,207,170,165,168,144,108,99,102,87,87,133,104,45,63,73,85,141,103,81,144,126,101,100,107,96,87,99,130,147,106,55,4751
MEDIUM MOTOR VEHICLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
MEDIUM PASSENGER VEHICLE,0,4,15,1,0,2,0,0,0,0,1,0,1,0,1,0,7,33,31,40,12,15,11,17,10,58,34,33,29,55,37,32,28,27,21,13,568
OTHER THAN MENTIONED ABOVE,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,36
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4
THREE WHEELER(T),1950,2474,3042,971,1309,1798,2948,1535,2942,4666,2596,3155,2819,2780,3422,2502,2303,2482,2272,2720,2759,3451,2696,3411,3436,3226,5053,2376,3391,2599,2925,2839,4009,5081,5458,5990,109386
TWO WHEELER (Invalid Carriage),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
TWO WHEELER(NT),24600,25401,28857,32211,28887,27683,30645,31858,25416,50687,41687,21767,35957,29402,30394,28589,32302,28410,31547,33355,31876,36235,57223,27249,38698,30766,31880,36769,34354,30173,37526,35740,30007,57324,61899,24034,1221408
TWO WHEELER(T),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,42387,42671,47831,51700,47370,46452,51721,51959,44723,76211,62534,42267,59479,48784,54314,48006,53028,48338,51019,54117,52474,58419,80847,48929,67204,52897,54758,57755,54048,49177,58603,53914,45763,87988,83388,45575,1976650
