"Vehicle Category and Month Wise Data for Delhi (2025-2026)"\n\nVehicle Category,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
FOUR WHEELER (Invalid Carriage),22,28,20,17,25,18,25,27,11,22,22,14,32,14,23,22,17,15,16,11,2,403
HEAVY GOODS VEHICLE,81,56,91,113,70,48,71,82,58,76,97,71,87,117,92,106,77,48,101,88,11,1641
HEAVY MOTOR VEHICLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEAVY PASSENGER VEHICLE,115,81,18,243,170,132,208,213,61,45,78,190,261,150,244,143,108,260,142,82,24,2968
LIGHT GOODS VEHICLE,1567,1328,1360,1445,1245,1215,1438,1500,1433,2089,1826,1290,2027,1592,1529,1585,1404,1447,1696,1839,317,31172
LIGHT MOTOR VEHICLE,23514,13454,15257,15789,13884,13583,15000,13146,11523,22637,16741,16664,24646,15328,18948,17143,17940,17967,16832,15778,2751,338525
LIGHT PASSENGER VEHICLE,623,394,322,425,396,324,326,346,257,373,216,284,485,464,536,965,838,917,1033,1790,201,11515
MEDIUM GOODS VEHICLE,146,112,82,139,140,98,74,139,182,154,136,97,185,170,161,223,146,162,113,164,33,2856
MEDIUM MOTOR VEHICLE,0,0,0,0,0,0,0,0,0,17,0,1,0,16,0,0,0,0,0,0,0,34
MEDIUM PASSENGER VEHICLE,30,27,40,66,41,68,52,41,31,21,6,10,23,15,21,46,17,43,44,15,2,659
OTHER THAN MENTIONED ABOVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,18
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2
THREE WHEELER(T),6195,5701,6619,5846,6613,4989,5742,5443,5890,6016,4993,3677,2431,2023,2062,1677,2028,2144,2247,2097,196,84629
TWO WHEELER (Invalid Carriage),0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
TWO WHEELER(NT),42753,28990,35860,34776,46862,37899,44491,40694,41034,83336,64821,30893,55166,41369,47082,46132,47226,46948,53117,51159,9992,930600
TWO WHEELER(T),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,75046,50172,59669,58859,69447,58374,67427,61631,60480,114786,88937,53192,85343,61258,70698,68060,69801,69951,75342,73023,13529,1405025
