"Vehicle Category and Month Wise Data for Goa (2019-2021)"\n\nVehicle Category,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec,Total
FOUR WHEELER (Invalid Carriage),3,1,2,2,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,20
HEAVY GOODS VEHICLE,25,24,23,14,11,11,15,10,18,22,15,16,24,22,24,1,0,0,1,2,9,1,9,10,32,10,12,14,3,7,5,16,26,15,20,13,480
HEAVY MOTOR VEHICLE,1,1,1,1,1,0,1,1,0,1,2,3,0,0,1,0,0,0,0,0,1,0,2,1,0,0,1,1,0,0,0,0,0,1,0,0,21
HEAVY PASSENGER VEHICLE,1,2,5,2,0,0,5,6,4,8,6,0,0,2,16,1,0,0,0,0,0,0,1,0,0,0,24,5,0,4,0,0,1,1,8,5,107
LIGHT GOODS VEHICLE,146,140,131,116,122,56,92,109,102,157,134,115,187,188,135,11,17,31,70,81,82,120,146,88,152,137,158,120,54,86,130,139,141,153,161,125,4132
LIGHT MOTOR VEHICLE,1854,1177,1270,1399,1280,918,985,1778,942,2158,2131,3918,599,971,765,29,654,598,687,1219,843,1488,1452,1200,1444,1163,1283,1420,391,752,973,1407,1249,1146,1243,1259,44045
LIGHT PASSENGER VEHICLE,481,325,317,254,195,176,245,348,148,52,330,345,270,245,193,8,41,20,17,14,12,27,25,44,58,42,47,35,8,9,10,37,37,41,65,66,4587
MEDIUM GOODS VEHICLE,10,7,12,10,8,3,13,12,9,20,15,9,15,16,35,5,0,0,1,6,6,16,10,5,17,19,19,13,6,3,11,14,10,18,12,14,399
MEDIUM MOTOR VEHICLE,2,0,2,0,0,0,0,1,1,0,1,3,0,1,0,1,0,0,2,0,0,0,2,0,1,1,2,0,0,0,2,0,0,1,0,0,23
MEDIUM PASSENGER VEHICLE,1,5,9,1,4,4,3,5,8,7,9,7,11,3,15,1,0,0,0,2,1,1,1,0,1,1,2,3,3,1,3,0,3,1,1,0,117
OTHER THAN MENTIONED ABOVE,4,5,5,6,7,5,4,4,5,6,13,13,0,2,0,0,2,3,2,2,1,6,5,11,9,8,7,12,2,6,9,12,6,4,3,7,196
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),1,0,0,1,0,0,0,1,0,0,0,1,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10
THREE WHEELER(T),9,7,6,8,13,4,9,4,3,5,8,6,9,8,20,0,2,1,2,4,2,4,2,4,3,4,3,2,0,0,7,2,3,16,8,4,192
TWO WHEELER (Invalid Carriage),0,3,12,0,2,2,1,3,1,0,1,0,0,2,1,0,0,0,0,1,0,0,1,0,3,10,1,0,0,0,0,0,0,1,0,0,45
TWO WHEELER(NT),4588,3839,3359,4282,3716,2786,2605,4279,3072,6117,4421,5374,3403,3405,2831,275,1664,1462,1434,2433,2138,3411,4049,2474,3409,3459,3497,3271,372,1520,1657,2244,2949,3677,3783,3031,110286
TWO WHEELER(T),55,7,23,31,11,12,52,42,35,104,110,82,48,76,68,16,13,7,4,5,20,33,59,105,65,134,161,113,7,13,35,74,134,238,329,437,2758
Total,7181,5543,5177,6127,5370,3977,4030,6603,4348,8658,7196,9893,4568,4942,4107,348,2393,2122,2220,3769,3115,5110,5764,3942,5196,4989,5218,5010,846,2401,2842,3946,4559,5313,5633,4962,167418
