"Vehicle Category and Month Wise Data for Goa (2025-2026)"\n\nVehicle Category,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
FOUR WHEELER (Invalid Carriage),0,1,1,1,0,1,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,9
HEAVY GOODS VEHICLE,49,51,25,43,12,27,24,46,57,54,39,52,58,53,43,48,45,40,22,28,3,819
HEAVY MOTOR VEHICLE,0,0,1,1,0,1,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,8
HEAVY PASSENGER VEHICLE,22,11,14,20,8,22,8,26,33,18,13,0,2,0,0,5,5,2,12,2,0,223
LIGHT GOODS VEHICLE,257,164,184,188,138,133,159,217,161,265,203,154,260,181,178,183,111,156,180,168,30,3670
LIGHT MOTOR VEHICLE,1972,1333,2035,1565,1329,1401,1632,2235,1673,2747,2033,1981,2211,1622,2120,1903,1799,1735,1919,1954,311,37510
LIGHT PASSENGER VEHICLE,457,303,238,207,142,142,182,250,169,330,251,189,241,237,244,165,170,219,231,229,51,4647
MEDIUM GOODS VEHICLE,26,17,28,23,8,9,18,12,16,42,27,26,46,19,23,22,20,14,19,17,4,436
MEDIUM MOTOR VEHICLE,2,2,3,0,0,2,0,1,0,2,0,1,0,0,2,1,0,0,0,1,0,17
MEDIUM PASSENGER VEHICLE,27,10,13,12,9,8,13,13,21,22,19,11,9,9,19,12,7,8,35,9,3,289
OTHER THAN MENTIONED ABOVE,19,20,22,18,19,17,5,4,15,15,10,9,16,5,14,14,6,11,7,7,2,255
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,1,1,1,0,0,1,0,1,0,1,0,2,0,1,0,0,1,0,1,2,13
THREE WHEELER(T),15,23,17,11,13,11,7,7,10,16,9,11,25,14,20,22,12,5,8,14,4,274
TWO WHEELER (Invalid Carriage),0,0,3,0,0,3,2,3,2,9,3,4,2,4,0,1,1,2,2,0,1,42
TWO WHEELER(NT),5028,4131,5040,3972,3202,3429,3307,5182,4938,7548,5294,4781,5093,5019,6389,4592,4140,4567,4218,4584,1159,95613
TWO WHEELER(T),201,131,164,75,46,74,118,149,190,305,181,351,200,185,124,108,32,72,63,102,24,2895
Total,8075,6198,7789,6137,4926,5280,5477,8145,7286,11374,8085,7572,8167,7348,9177,7077,6348,6832,6717,7116,1594,146720
