"Vehicle Category and Month Wise Data for Gujarat (2019-2021)"\n\nVehicle Category,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec,Total
FOUR WHEELER (Invalid Carriage),30,54,34,45,60,35,42,20,21,69,63,25,50,52,44,2,2,42,42,45,48,48,54,51,65,61,53,38,69,52,37,35,53,43,44,56,1584
HEAVY GOODS VEHICLE,2141,2063,2069,2127,1718,1330,1621,1301,1272,1532,1526,1424,1917,2026,1972,47,0,44,102,188,374,781,778,1058,1539,1557,1622,1295,600,728,911,1135,1216,1597,1243,1520,44374
HEAVY MOTOR VEHICLE,36,28,48,36,46,30,40,25,21,22,51,39,47,39,41,2,0,18,31,31,29,32,32,48,35,53,38,26,18,31,36,25,33,34,30,62,1193
HEAVY PASSENGER VEHICLE,218,190,223,258,235,164,161,158,89,551,260,219,230,203,124,6,0,0,1,6,21,16,18,20,27,80,28,163,86,187,238,136,134,148,16,79,4693
LIGHT GOODS VEHICLE,3103,3390,3454,3554,3090,2423,3076,2430,2571,3793,3767,3335,3578,3556,4364,469,126,1032,1643,1635,2183,3343,3241,2976,3041,3333,3348,1802,1292,2148,3162,3099,3299,3670,3371,3564,101261
LIGHT MOTOR VEHICLE,28195,24142,22024,23979,23552,17944,28049,30407,18516,35360,29922,24985,29727,22820,19323,849,1238,14387,28211,32896,21499,33276,35644,31323,30483,28113,25571,19607,17742,23229,41363,35003,27770,26279,25238,27003,905669
LIGHT PASSENGER VEHICLE,631,772,755,809,837,798,1139,889,626,838,635,760,757,704,800,52,29,227,276,233,298,335,314,285,333,457,443,487,388,396,543,390,492,392,452,491,19063
MEDIUM GOODS VEHICLE,294,269,284,326,249,199,242,164,151,214,212,173,222,218,311,8,0,11,33,48,95,89,157,134,160,205,225,194,82,115,166,194,200,194,212,348,6398
MEDIUM MOTOR VEHICLE,145,103,155,109,90,76,128,90,65,134,92,175,227,193,164,3,1,79,201,127,197,206,232,308,213,285,148,100,41,61,94,89,121,126,119,117,4814
MEDIUM PASSENGER VEHICLE,71,50,101,84,144,206,190,69,33,52,34,73,65,39,187,25,0,8,15,8,17,9,17,38,78,52,68,30,83,31,30,30,45,18,25,24,2049
OTHER THAN MENTIONED ABOVE,495,417,499,455,407,372,450,349,288,420,466,462,373,366,415,28,6,186,264,282,318,431,425,579,525,653,775,376,312,408,430,408,557,506,372,495,14570
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),3,3,5,0,3,1,3,1,1,3,1,0,3,2,3,0,0,0,0,0,1,1,0,0,2,1,3,0,0,1,1,2,2,0,2,0,48
THREE WHEELER(T),5060,6611,6057,6005,6028,5145,7141,6076,5851,8300,8179,6267,5965,5801,10495,722,12,559,472,577,614,1094,1321,1010,1213,1616,1812,1009,544,1223,1736,2078,2725,3596,3119,2912,128945
TWO WHEELER (Invalid Carriage),50,56,66,66,67,59,62,49,32,74,81,89,47,71,72,12,2,26,39,27,23,52,56,47,39,34,23,32,20,33,40,24,30,43,43,42,1628
TWO WHEELER(NT),90450,84313,91623,94779,93932,82224,98453,85251,68561,142019,138654,92977,80407,85672,117721,9898,4420,45693,52860,53805,44375,78706,112681,87711,68377,72153,72092,49007,33415,59097,68634,54699,71810,84796,110808,92962,2775035
TWO WHEELER(T),0,16,1,7,3,3,3,2,3,3,1,5,3,9,23,2,0,0,1,0,0,0,3,1,1,0,4,0,4,1,0,13,3,2,1,4,122
Total,130922,122477,127398,132639,130461,111009,140800,127281,98101,193384,183944,131008,123618,121771,156059,12125,5836,62312,84191,89908,70092,118419,154973,125589,106131,108653,106253,74166,54696,87741,117421,97360,108490,121444,145095,129679,4011446
