"Vehicle Category and Month Wise Data for Himachal Pradesh (2019-2021)"\n\nVehicle Category,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec,Total
FOUR WHEELER (Invalid Carriage),1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,1,9
HEAVY GOODS VEHICLE,264,278,507,344,362,322,368,357,257,245,255,223,281,357,528,68,1,2,38,98,92,113,122,128,148,200,215,218,60,241,276,192,157,161,221,124,7823
HEAVY MOTOR VEHICLE,5,4,19,6,8,16,31,15,29,45,35,30,33,36,48,10,3,28,27,46,2,15,18,21,8,5,8,7,0,2,3,11,6,4,11,9,604
HEAVY PASSENGER VEHICLE,3,5,10,26,29,12,7,12,13,13,33,18,13,18,36,6,0,0,1,1,3,0,1,4,2,3,1,3,1,1,2,4,7,5,2,1,296
LIGHT GOODS VEHICLE,358,374,331,493,532,496,629,676,509,448,510,422,441,553,757,158,0,57,314,390,472,407,442,466,426,352,392,326,97,420,903,785,571,380,451,409,15747
LIGHT MOTOR VEHICLE,5442,3783,3831,4151,4051,3606,4169,3779,2887,4701,7339,5259,5150,4273,4559,676,363,2844,5396,4548,4914,6023,7863,6917,4713,3469,4281,3605,1547,3338,4056,3859,3394,3180,4534,4198,150698
LIGHT PASSENGER VEHICLE,125,126,172,293,563,363,241,336,303,244,223,418,351,311,771,155,9,61,139,115,145,106,182,191,138,167,250,213,21,87,98,54,221,179,121,117,7609
MEDIUM GOODS VEHICLE,39,32,41,44,53,58,62,47,38,32,51,54,39,55,105,19,0,0,8,45,34,36,38,59,41,41,58,54,12,44,100,59,39,33,42,37,1549
MEDIUM MOTOR VEHICLE,34,19,43,19,20,24,6,12,21,24,35,33,21,45,41,12,0,2,9,11,13,16,24,9,5,7,2,3,5,5,9,8,7,4,6,4,558
MEDIUM PASSENGER VEHICLE,8,7,17,19,42,27,25,32,26,17,17,20,20,25,77,20,0,0,0,4,3,5,7,4,7,8,9,4,1,4,10,8,6,5,4,1,489
OTHER THAN MENTIONED ABOVE,52,49,90,63,52,61,60,65,46,73,76,87,93,117,150,31,5,45,78,97,131,132,190,101,68,52,75,54,26,42,37,42,45,44,44,41,2514
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
THREE WHEELER(T),19,31,20,44,26,14,21,24,29,29,23,22,20,102,97,10,0,8,13,38,41,28,29,22,13,19,20,9,9,7,19,17,13,19,15,15,885
TWO WHEELER (Invalid Carriage),0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
TWO WHEELER(NT),5202,4133,4613,5038,5271,5162,6245,6886,4773,6276,9088,7417,4624,4479,6399,2495,348,4020,7942,7447,6935,6501,9543,7926,5192,3589,4851,4365,1723,5088,6526,5430,4976,4605,7398,6040,198546
TWO WHEELER(T),2,4,5,9,40,34,20,7,29,14,4,13,1,0,29,9,0,2,2,0,2,7,1,1,15,6,13,13,2,11,30,4,6,42,14,17,408
Total,11554,8845,9699,10549,11050,10195,11885,12250,8960,12163,17689,14016,11087,10371,13597,3669,729,7069,13967,12840,12787,13389,18460,15849,10777,7918,10176,8874,3504,9292,12069,10473,9450,8662,12863,11014,387741
