"Vehicle Category and Month Wise Data for Himachal Pradesh (2025-2026)"\n\nVehicle Category,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
FOUR WHEELER (Invalid Carriage),0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,4
HEAVY GOODS VEHICLE,252,262,304,285,334,284,282,282,187,157,248,266,315,348,418,408,376,277,389,327,64,6065
HEAVY MOTOR VEHICLE,1,0,3,1,8,1,4,1,0,3,1,2,1,0,0,0,1,0,0,2,1,30
HEAVY PASSENGER VEHICLE,3,9,12,9,6,10,38,9,7,11,9,11,7,12,13,15,19,11,24,252,14,501
LIGHT GOODS VEHICLE,588,556,519,546,747,676,687,638,520,668,769,631,623,653,599,627,531,592,715,624,114,12623
LIGHT MOTOR VEHICLE,5831,4146,4067,4544,4077,3730,3977,3694,2315,5461,8993,5950,6541,5002,5151,5129,4680,4337,5216,4166,711,97718
LIGHT PASSENGER VEHICLE,703,590,537,578,468,910,601,336,226,581,565,391,515,929,824,930,805,640,741,531,100,12501
MEDIUM GOODS VEHICLE,72,82,87,69,103,84,64,62,38,43,53,62,64,78,67,111,66,71,93,65,13,1447
MEDIUM MOTOR VEHICLE,5,11,3,7,6,8,8,4,10,3,3,11,3,1,3,2,5,4,6,9,3,115
MEDIUM PASSENGER VEHICLE,21,21,25,35,42,34,42,28,21,21,19,24,16,17,25,47,37,25,27,39,11,577
OTHER THAN MENTIONED ABOVE,46,36,42,50,52,62,32,28,15,28,26,35,37,37,25,41,56,35,58,35,2,778
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(T),58,61,41,49,44,65,48,24,21,15,24,16,16,18,18,15,12,10,29,21,3,608
TWO WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWO WHEELER(NT),6613,5095,5382,5743,6405,6316,5671,6313,4389,6825,16842,9878,7208,6019,6158,6732,6594,6222,9022,7224,1312,141963
TWO WHEELER(T),58,52,45,175,213,136,64,40,48,34,49,83,75,59,40,59,165,63,132,62,5,1657
Total,14251,10921,11067,12091,12505,12317,11518,11459,7797,13850,27601,17362,15421,13173,13341,14116,13348,12287,16452,13357,2353,276587
