"Vehicle Category and Month Wise Data for Haryana (2016-2018)"\n\nVehicle Category,2016-Jan,2016-Feb,2016-Mar,2016-Apr,2016-May,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Oct,2016-Nov,2016-Dec,2017-Jan,2017-Feb,2017-Mar,2017-Apr,2017-May,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Oct,2017-Nov,2017-Dec,2018-Jan,2018-Feb,2018-Mar,2018-Apr,2018-May,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Oct,2018-Nov,2018-Dec,Total
FOUR WHEELER (Invalid Carriage),0,2,1,2,1,2,0,4,2,1,3,3,7,4,2,1,3,2,5,7,3,1,1,4,5,6,6,2,2,6,4,5,6,1,1,2,107
HEAVY GOODS VEHICLE,985,1101,1385,1383,1189,908,863,709,1047,1021,1118,647,1088,1489,2325,1262,1194,825,1030,910,1427,1476,1706,1326,2188,1670,1833,1808,1830,1428,1249,1322,1372,1289,1097,1220,46720
HEAVY MOTOR VEHICLE,4,7,7,11,12,8,6,7,9,6,11,9,10,9,14,20,17,12,4,5,6,5,12,8,2,7,4,8,14,7,8,12,9,8,4,8,310
HEAVY PASSENGER VEHICLE,97,68,81,162,333,210,134,150,169,93,73,71,80,88,147,9,132,199,197,86,142,81,113,58,135,151,148,137,256,163,167,116,89,92,99,76,4602
LIGHT GOODS VEHICLE,900,853,864,928,1141,915,846,866,1112,888,1053,726,732,1017,1290,627,1389,954,913,522,818,838,1260,890,1373,1337,1265,1192,1515,1231,1312,1265,1219,1214,1236,1555,38056
LIGHT MOTOR VEHICLE,14177,13166,14370,12497,14210,12494,12533,12694,11414,10983,15018,11137,16744,13941,18394,12377,15640,11601,13450,12788,13934,14308,17326,15848,19299,16397,18725,14370,19429,14786,16141,15826,13529,13274,15973,18246,527039
LIGHT PASSENGER VEHICLE,617,1131,747,1464,1157,1173,1184,1184,1736,917,708,704,907,1086,1127,333,1142,713,565,437,622,557,636,413,743,677,1028,797,1413,1319,1799,1977,1613,1159,693,832,35310
MEDIUM GOODS VEHICLE,57,68,84,86,114,68,69,72,96,105,107,70,110,160,175,107,149,83,98,58,105,128,169,140,183,180,189,188,190,157,180,177,162,202,187,193,4666
MEDIUM MOTOR VEHICLE,33,22,23,17,36,27,18,23,32,27,42,30,18,29,51,40,49,42,31,45,36,16,24,26,29,30,40,38,42,32,54,36,41,44,44,47,1214
MEDIUM PASSENGER VEHICLE,35,33,42,79,191,243,155,117,104,101,58,37,33,79,91,25,143,231,146,104,95,64,85,52,59,76,78,106,231,130,96,109,78,36,61,42,3445
OTHER THAN MENTIONED ABOVE,43,79,63,71,79,59,63,66,95,58,79,72,50,90,173,86,104,101,135,123,126,124,155,148,160,168,211,186,278,250,232,228,226,211,187,202,4781
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
THREE WHEELER(T),1621,1405,1266,1269,1252,1388,1280,1630,2045,1742,1735,1239,892,1205,1465,372,1381,1237,1217,804,1116,1147,1849,1238,1494,1581,1489,1237,1562,1136,1314,1801,1888,2080,1705,2307,51389
TWO WHEELER (Invalid Carriage),0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,7
TWO WHEELER(NT),30308,37986,38070,34278,42534,38511,36827,39792,38025,35410,56935,35387,34046,36295,53912,39408,42795,31821,32292,36304,44757,43052,68802,49270,47206,43082,45312,36854,56547,42986,50058,51667,45184,41232,52508,67107,1556560
TWO WHEELER(T),74,154,114,14,0,2,8,28,54,96,89,61,113,65,58,5,2,66,43,33,35,28,73,103,131,146,136,109,132,108,63,94,84,173,194,197,2885
Total,48951,56076,57117,52261,62249,56008,53987,57342,55941,51448,77029,50194,54830,55557,79224,54672,64140,47887,50126,52226,63223,61825,92212,69524,73007,65508,70464,57032,83441,63740,72677,74636,65500,61015,73989,92034,2277092
