"Vehicle Category and Month Wise Data for Jammu & Kashmir (2016-2018)"\n\nVehicle Category,2016-Jan,2016-Feb,2016-Mar,2016-Apr,2016-May,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Oct,2016-Nov,2016-Dec,2017-Jan,2017-Feb,2017-Mar,2017-Apr,2017-May,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Oct,2017-Nov,2017-Dec,2018-Jan,2018-Feb,2018-Mar,2018-Apr,2018-May,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Oct,2018-Nov,2018-Dec,Total
FOUR WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,6
HEAVY GOODS VEHICLE,90,125,174,148,158,155,69,142,153,118,98,119,100,220,359,213,337,228,199,225,303,252,211,176,250,243,376,242,491,423,415,299,297,250,186,164,8008
HEAVY MOTOR VEHICLE,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9
HEAVY PASSENGER VEHICLE,8,38,23,6,15,14,6,4,9,3,3,1,11,11,15,17,33,12,21,24,14,12,18,21,24,3,31,44,57,32,19,9,22,22,11,15,628
LIGHT GOODS VEHICLE,322,334,397,324,440,347,123,146,138,157,228,193,260,377,522,342,588,378,422,363,400,431,439,395,477,397,563,374,572,472,449,405,543,472,408,433,13631
LIGHT MOTOR VEHICLE,3837,3891,3945,3371,3811,3885,1858,2068,2195,2740,2605,3052,3225,3974,5656,3923,5615,4594,4753,4059,3885,4809,5772,3591,6087,5199,5669,4234,6411,6097,6333,5666,5586,5166,5386,6173,159121
LIGHT PASSENGER VEHICLE,168,191,206,149,211,157,116,116,120,160,111,111,112,124,192,117,137,124,117,106,114,174,128,93,127,99,163,156,129,168,134,109,128,92,76,94,4829
MEDIUM GOODS VEHICLE,9,18,18,16,25,28,13,14,22,13,9,5,8,7,14,14,12,18,20,23,15,26,26,19,22,18,32,22,47,51,43,29,35,28,14,29,762
MEDIUM MOTOR VEHICLE,0,3,0,0,2,1,2,3,0,0,1,0,1,2,0,1,1,0,0,2,0,0,0,2,1,1,1,0,4,0,0,0,3,2,2,1,36
MEDIUM PASSENGER VEHICLE,21,26,24,19,41,39,10,15,11,4,16,10,17,16,59,33,54,32,37,36,31,27,30,19,26,32,107,58,78,60,56,27,31,19,9,52,1182
OTHER THAN MENTIONED ABOVE,171,149,157,137,137,176,70,92,89,68,57,10,5,1,0,0,2,1,1,1,1,1,0,3,0,0,2,2,1,4,3,0,0,1,1,1,1344
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
THREE WHEELER(T),112,170,226,280,254,206,89,92,87,105,112,186,156,267,363,341,321,241,240,245,270,359,254,214,250,307,346,190,382,365,373,317,438,353,293,300,9104
TWO WHEELER (Invalid Carriage),0,2,3,2,3,2,2,1,3,6,3,6,1,0,0,0,0,0,0,2,4,5,11,2,1,2,0,1,1,1,2,1,1,10,15,9,102
TWO WHEELER(NT),4073,4024,5037,4794,6087,6508,3609,4384,4769,7824,8321,7902,5779,5235,8361,6663,10424,8193,9470,8690,8536,9157,10832,7178,6712,5031,7066,4853,8371,9262,12076,9725,10969,9587,8458,8419,266379
TWO WHEELER(T),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,8811,8971,10211,9246,11185,11520,5967,7077,7596,11198,11564,11596,9675,10234,15541,11665,17524,13821,15281,13780,13574,15253,17721,11713,13977,11333,14356,10176,16546,16935,19903,16588,18053,16002,14859,15690,465142
