"Vehicle Category and Month Wise Data for Karnataka (2019-2021)"\n\nVehicle Category,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec,Total
FOUR WHEELER (Invalid Carriage),12,18,13,10,13,19,8,13,12,14,15,15,27,18,14,0,2,10,11,19,15,20,23,18,15,19,27,18,1,14,23,25,34,14,22,9,560
HEAVY GOODS VEHICLE,1781,1933,2443,1626,1425,1191,1181,983,809,895,998,774,1163,1169,1937,96,16,96,133,192,400,461,544,559,865,826,1024,898,236,605,771,763,1014,960,970,919,32656
HEAVY MOTOR VEHICLE,36,89,148,99,40,56,73,132,95,96,72,73,107,107,126,12,6,1,15,12,23,15,18,17,26,19,17,18,2,9,19,13,18,17,13,16,1655
HEAVY PASSENGER VEHICLE,70,75,92,183,132,60,125,52,63,96,80,130,334,516,655,141,0,0,0,4,8,3,1,5,12,12,10,6,0,5,12,5,2,9,2,228,3128
LIGHT GOODS VEHICLE,3884,3472,3741,3018,2979,2854,3174,3044,3081,3318,3879,2750,4153,4210,6136,493,143,967,1390,2041,2607,2624,3372,2558,3525,2744,3382,2605,168,1078,3460,3255,3502,3175,2966,3119,102867
LIGHT MOTOR VEHICLE,30088,19873,21575,18262,19792,18940,16422,17662,15662,21770,22687,15713,28056,20349,19809,992,7404,16221,16651,18989,21251,24506,27749,21337,33088,25661,29402,20749,958,9472,28526,28717,28469,24195,21723,22563,735283
LIGHT PASSENGER VEHICLE,1497,2344,2199,1749,2056,2380,2413,2109,2170,2047,2217,1604,2737,2208,2414,173,83,310,355,435,624,429,460,341,539,534,510,452,73,244,677,495,506,299,389,527,40599
MEDIUM GOODS VEHICLE,406,350,382,320,293,310,378,293,274,267,310,243,369,345,541,30,6,23,40,76,118,223,255,192,336,301,423,298,33,171,253,301,349,317,341,326,9493
MEDIUM MOTOR VEHICLE,146,165,182,166,150,138,134,132,125,122,155,134,165,167,243,31,47,141,146,123,157,147,116,103,130,92,129,70,12,22,81,63,77,65,56,45,4177
MEDIUM PASSENGER VEHICLE,37,82,103,111,278,463,304,165,100,102,103,71,121,120,442,61,0,0,2,16,10,8,36,17,30,28,37,16,2,9,37,20,20,70,31,87,3139
OTHER THAN MENTIONED ABOVE,205,192,279,190,168,186,193,181,146,141,184,173,279,316,447,45,78,212,233,261,343,272,316,275,379,337,434,309,26,122,336,326,440,328,228,253,8833
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),22,29,24,24,26,22,16,21,17,15,17,15,13,22,22,2,5,5,1,5,10,7,6,4,11,4,14,5,2,2,5,9,15,7,8,13,445
THREE WHEELER(T),4146,3958,4490,3492,3945,3805,4684,4311,4090,4162,4776,3442,4500,4802,5281,443,334,961,858,970,1420,1290,1542,1046,1740,1593,1968,1275,95,462,1693,1686,1915,1802,1840,1786,90603
TWO WHEELER (Invalid Carriage),219,300,333,192,148,186,284,215,217,234,193,168,278,471,1509,419,34,51,562,85,396,308,226,348,249,142,584,385,19,137,1471,553,508,548,103,129,12204
TWO WHEELER(NT),108462,97121,103838,92482,107030,102253,97454,97798,85248,105182,114323,76473,98206,93729,112613,14377,29703,73341,59445,72779,87098,73825,96614,82550,94991,79663,88222,59942,4953,19420,83965,79703,79977,76084,74217,82371,2905452
TWO WHEELER(T),515,532,1681,2255,408,1000,378,1379,422,720,273,469,855,208,109,7,1,36,6,3,4,420,324,404,388,170,119,51,0,1,26,40,312,296,215,772,14799
Total,151526,130533,141523,124179,138883,133863,127221,128490,112531,139181,150282,102247,141363,128757,152298,17322,37862,92375,79848,96010,114484,104558,131602,109774,136324,112145,126302,87097,6580,31773,121355,115974,117158,108186,103124,113163,3965893
