"Vehicle Category and Month Wise Data for Kerala (2025-2026)"\n\nVehicle Category,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
FOUR WHEELER (Invalid Carriage),15,8,12,13,14,6,16,13,14,13,18,12,14,9,3,9,4,12,2,0,0,207
HEAVY GOODS VEHICLE,268,236,282,258,233,234,230,218,213,312,334,300,343,342,405,358,450,238,252,216,55,5777
HEAVY MOTOR VEHICLE,7,3,6,6,2,28,4,2,6,8,4,2,2,0,3,3,1,4,2,1,0,94
HEAVY PASSENGER VEHICLE,90,74,89,77,56,79,115,293,62,55,38,109,96,277,75,101,97,85,120,99,21,2108
LIGHT GOODS VEHICLE,1972,1519,1649,1555,1602,1487,1675,1943,1592,2276,2191,2130,2381,2083,2288,1977,1901,2160,2598,2099,435,39513
LIGHT MOTOR VEHICLE,21970,14494,16582,19821,18564,17917,18637,20793,18872,27878,21519,20863,26405,18108,20485,20423,22565,23906,23653,23262,3887,420604
LIGHT PASSENGER VEHICLE,1009,846,822,1054,1329,1453,1294,1600,1024,2222,1767,1627,1327,1590,1969,1801,1997,2567,2079,1784,344,31505
MEDIUM GOODS VEHICLE,167,138,149,138,118,106,114,151,118,208,202,184,249,230,251,254,167,201,258,249,43,3695
MEDIUM MOTOR VEHICLE,8,6,2,8,4,2,0,15,6,3,10,7,7,10,11,16,6,8,9,6,1,145
MEDIUM PASSENGER VEHICLE,115,78,85,91,193,199,151,237,54,89,94,96,100,184,102,98,170,241,126,93,20,2616
OTHER THAN MENTIONED ABOVE,67,58,50,48,36,61,38,37,55,54,76,69,67,70,79,57,61,65,70,49,4,1171
THREE WHEELER (Invalid Carriage),0,0,1,0,1,1,1,0,1,0,2,0,1,1,0,0,1,0,0,0,0,10
THREE WHEELER(NT),35,21,31,29,33,25,24,29,26,38,45,39,58,46,46,43,41,47,70,49,9,784
THREE WHEELER(T),2555,1923,2269,1944,2356,2346,2427,2861,2343,3301,3218,2946,3721,3551,3820,3000,3656,4016,4173,3828,809,61063
TWO WHEELER (Invalid Carriage),22,21,92,62,82,35,14,19,53,143,48,23,55,27,68,44,17,5,1,0,0,831
TWO WHEELER(NT),46066,37009,44794,40297,45153,42525,43824,59651,50472,62620,48935,50965,57490,53977,59231,52866,56254,61207,60188,71245,15350,1060119
TWO WHEELER(T),27,20,35,19,17,25,95,39,22,74,29,44,64,85,142,57,58,58,144,114,15,1183
Total,74393,56454,66950,65420,69793,66529,68659,87901,74933,99294,78530,79416,92380,80590,88978,81107,87446,94820,93745,103094,20993,1631425
