"Vehicle Category and Month Wise Data for Ladakh (2016-2018)"\n\nVehicle Category,2016-Jan,2016-Feb,2016-Mar,2016-Apr,2016-May,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Oct,2016-Nov,2016-Dec,2017-Jan,2017-Feb,2017-Mar,2017-Apr,2017-May,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Oct,2017-Nov,2017-Dec,2018-Jan,2018-Feb,2018-Mar,2018-Apr,2018-May,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Oct,2018-Nov,2018-Dec,Total
FOUR WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEAVY GOODS VEHICLE,0,2,0,1,31,8,5,3,5,11,5,2,0,1,2,2,27,33,10,7,2,4,1,3,0,2,0,2,11,7,4,2,5,8,2,5,213
HEAVY MOTOR VEHICLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HEAVY PASSENGER VEHICLE,0,0,1,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,3,0,0,1,0,2,0,0,0,11,1,0,0,0,1,2,0,0,28
LIGHT GOODS VEHICLE,6,12,20,19,20,44,29,24,41,26,34,23,13,11,15,14,26,50,41,51,38,40,39,23,25,20,10,10,54,45,39,22,42,23,18,23,990
LIGHT MOTOR VEHICLE,75,66,41,26,59,161,162,132,131,129,136,95,117,40,48,28,58,130,136,183,164,191,207,128,140,54,52,46,179,188,306,194,258,240,154,145,4599
LIGHT PASSENGER VEHICLE,13,21,13,2,85,45,52,23,23,30,20,15,6,0,6,2,67,133,31,14,11,10,8,5,4,3,4,4,22,17,13,2,8,8,5,5,730
MEDIUM GOODS VEHICLE,2,0,1,1,1,5,0,0,2,1,0,7,0,0,3,0,5,5,4,3,2,0,2,3,0,0,2,6,25,11,6,1,3,2,3,1,107
MEDIUM MOTOR VEHICLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MEDIUM PASSENGER VEHICLE,0,1,0,0,9,6,1,4,4,4,13,2,3,0,1,2,0,4,1,2,0,0,5,1,1,0,0,0,17,21,11,5,9,7,3,2,139
OTHER THAN MENTIONED ABOVE,0,0,1,0,1,1,1,1,1,1,2,2,2,0,8,1,0,4,3,1,2,2,1,4,1,4,5,2,4,7,4,0,0,0,0,0,66
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(T),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
TWO WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWO WHEELER(NT),1,5,6,4,8,89,33,42,22,8,10,17,4,2,3,7,21,106,109,76,43,60,48,32,7,7,24,7,110,186,87,25,58,38,21,16,1342
TWO WHEELER(T),0,0,0,0,10,22,20,13,16,2,0,14,0,0,0,0,8,49,33,20,5,12,15,2,2,1,2,6,53,139,32,9,1,0,0,0,486
Total,97,107,83,53,224,381,305,244,245,212,221,177,146,54,86,57,212,516,371,357,267,321,326,203,180,91,99,94,476,621,502,260,385,328,206,197,8704
