"Vehicle Category and Month Wise Data for Ladakh (2025-2026)"\n\nVehicle Category,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
FOUR WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEAVY GOODS VEHICLE,14,14,18,5,93,155,66,16,6,7,11,2,2,3,1,11,10,7,16,17,5,479
HEAVY MOTOR VEHICLE,2,2,10,5,18,8,7,2,3,2,0,1,1,2,4,6,4,2,3,4,0,86
HEAVY PASSENGER VEHICLE,2,1,5,0,4,4,2,2,0,0,0,0,0,0,1,0,0,0,1,5,2,29
LIGHT GOODS VEHICLE,23,11,24,49,39,26,34,23,19,29,25,31,32,27,17,32,47,46,34,39,5,612
LIGHT MOTOR VEHICLE,149,73,102,123,270,248,279,223,151,338,266,303,242,79,126,367,419,486,366,365,55,5030
LIGHT PASSENGER VEHICLE,22,19,29,99,99,42,13,5,6,13,4,6,3,3,3,12,25,29,24,31,6,493
MEDIUM GOODS VEHICLE,3,2,14,4,12,8,8,3,1,2,4,4,3,4,0,0,2,4,3,2,1,84
MEDIUM MOTOR VEHICLE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
MEDIUM PASSENGER VEHICLE,0,0,2,0,4,3,0,1,0,2,0,0,0,0,0,0,0,4,0,0,0,16
OTHER THAN MENTIONED ABOVE,2,0,1,0,0,3,1,0,0,1,0,1,0,0,4,1,0,0,3,1,0,18
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(T),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
TWO WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWO WHEELER(NT),19,5,6,11,21,47,62,67,33,34,26,18,18,32,14,31,105,99,116,77,20,861
TWO WHEELER(T),10,10,0,0,7,49,32,17,12,15,7,2,0,2,0,6,52,45,71,19,1,357
Total,246,137,211,296,567,594,504,359,231,444,343,368,301,152,170,466,664,723,637,560,95,8068
