"Vehicle Category and Month Wise Data for Maharashtra (2025-2026)"\n\nVehicle Category,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
FOUR WHEELER (Invalid Carriage),50,36,46,42,53,43,52,55,41,63,55,64,62,55,46,49,42,47,44,39,8,992
HEAVY GOODS VEHICLE,4199,3514,3798,4501,2831,2675,2970,2802,3070,4307,4291,3833,5261,4933,4869,4668,3617,3373,3744,4238,942,78436
HEAVY MOTOR VEHICLE,143,61,117,91,78,132,14,13,20,13,17,20,20,153,9,28,6,18,19,8,3,983
HEAVY PASSENGER VEHICLE,313,391,726,493,589,601,436,389,473,383,291,295,130,272,85,208,239,568,631,721,153,8387
LIGHT GOODS VEHICLE,9166,5973,9804,5487,5469,7136,4684,6530,6054,12808,7659,6321,9765,7505,8344,7007,5960,6941,7581,7603,1407,149204
LIGHT MOTOR VEHICLE,65826,36200,59535,48162,42342,41679,49244,51363,44575,85443,78485,67306,74808,47887,62079,55533,49424,50241,53847,51434,9346,1124759
LIGHT PASSENGER VEHICLE,7069,4324,4829,4981,4191,4659,6050,5347,4229,6984,5189,4574,6832,5989,5912,5440,4419,5921,7185,5562,1135,110821
MEDIUM GOODS VEHICLE,863,570,691,852,558,495,687,664,748,1467,1305,970,1240,1371,1233,1237,852,892,1166,1085,249,19195
MEDIUM MOTOR VEHICLE,187,110,130,144,79,156,82,141,378,388,461,390,192,146,115,94,109,129,117,97,45,3690
MEDIUM PASSENGER VEHICLE,296,255,312,359,309,609,499,350,258,263,277,247,262,282,402,398,281,508,723,459,87,7436
OTHER THAN MENTIONED ABOVE,1724,1232,1842,1135,937,1437,277,512,639,1074,1162,1225,1250,1032,965,815,626,603,610,580,171,19848
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,1,0,0,0,0,2,2,0,0,1,4,2,0,0,0,0,2,0,2,0,16
THREE WHEELER(T),9330,7245,8201,7924,6468,6982,7945,6957,6710,9951,9175,7609,9313,9042,7734,6309,4159,4524,5284,4321,895,146078
TWO WHEELER (Invalid Carriage),70,56,80,89,85,85,87,56,48,38,44,67,52,40,66,101,91,84,77,43,10,1369
TWO WHEELER(NT),190482,138215,176873,202892,165820,151875,159025,164487,143688,325733,299819,174865,233416,192243,240554,220178,182992,188429,195519,190962,40381,3978448
TWO WHEELER(T),0,0,0,1,0,0,0,5,100,13,6,10,12,3,136,25,123,35,196,165,1,831
Total,289718,198183,266984,277153,229809,218564,232054,239673,211031,448928,408237,267800,342617,270953,332549,302090,252940,262315,276743,267319,54833,5650493
