"Vehicle Category and Month Wise Data for Meghalaya (2016-2018)"\n\nVehicle Category,2016-Jan,2016-Feb,2016-Mar,2016-Apr,2016-May,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Oct,2016-Nov,2016-Dec,2017-Jan,2017-Feb,2017-Mar,2017-Apr,2017-May,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Oct,2017-Nov,2017-Dec,2018-Jan,2018-Feb,2018-Mar,2018-Apr,2018-May,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Oct,2018-Nov,2018-Dec,Total
FOUR WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEAVY GOODS VEHICLE,20,12,41,11,23,59,25,59,72,58,84,39,50,68,141,70,51,31,49,52,18,37,62,42,63,35,51,54,80,56,68,73,79,77,115,72,1997
HEAVY MOTOR VEHICLE,0,0,0,0,1,0,0,0,0,1,1,1,0,0,3,0,5,1,0,1,0,0,1,0,1,1,5,0,1,0,1,0,0,1,1,0,26
HEAVY PASSENGER VEHICLE,2,1,0,3,2,2,3,1,1,2,1,0,0,5,0,5,6,1,2,2,0,3,1,1,0,0,1,5,1,1,0,1,1,2,1,0,57
LIGHT GOODS VEHICLE,95,87,94,97,101,108,86,108,100,85,103,84,126,129,142,128,128,100,100,119,115,130,186,133,201,116,225,184,198,124,170,200,149,194,242,136,4823
LIGHT MOTOR VEHICLE,891,710,620,595,529,600,610,693,660,652,652,615,883,777,783,653,841,727,751,783,726,698,839,749,1019,722,982,798,907,682,925,881,736,837,857,703,27086
LIGHT PASSENGER VEHICLE,160,113,142,90,87,122,128,153,139,147,143,80,143,139,156,116,138,99,118,133,160,146,132,122,181,99,161,144,140,110,170,173,140,164,148,95,4831
MEDIUM GOODS VEHICLE,5,3,7,3,4,9,4,16,23,27,30,25,14,6,18,11,12,13,9,4,8,3,5,4,3,6,11,3,5,3,10,5,3,4,5,4,325
MEDIUM MOTOR VEHICLE,0,0,1,0,1,2,0,1,0,0,1,0,1,0,0,0,0,0,1,2,0,3,0,2,5,0,1,0,0,0,0,0,2,1,2,1,27
MEDIUM PASSENGER VEHICLE,0,4,128,2,0,3,2,4,8,4,2,2,5,9,11,4,1,3,1,5,2,7,2,0,1,2,5,2,8,4,4,1,0,3,5,0,244
OTHER THAN MENTIONED ABOVE,12,10,20,11,19,15,20,5,8,10,11,6,7,6,9,11,7,16,18,12,11,4,14,12,14,13,15,20,24,8,14,19,8,17,28,20,474
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,7
THREE WHEELER(T),119,122,140,106,155,152,86,146,111,106,80,73,66,76,92,153,101,33,47,72,70,74,113,63,60,41,88,115,88,78,77,84,80,74,107,35,3283
TWO WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWO WHEELER(NT),650,777,912,1078,945,1127,910,997,1064,896,786,631,617,757,1246,1947,1790,1207,1175,1354,1245,1194,1281,839,1001,905,1783,1784,2015,1449,1793,1639,1433,1445,1375,768,42815
TWO WHEELER(T),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
Total,1954,1839,2106,1997,1867,2199,1874,2183,2186,1988,1895,1556,1912,1972,2601,3098,3080,2231,2272,2539,2355,2299,2636,1967,2549,1940,3329,3109,3467,2515,3233,3077,2632,2820,2886,1834,85997
