"Vehicle Category and Month Wise Data for Meghalaya (2025-2026)"\n\nVehicle Category,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
FOUR WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEAVY GOODS VEHICLE,62,13,32,53,52,14,34,19,38,33,56,42,50,58,81,43,38,57,39,25,2,841
HEAVY MOTOR VEHICLE,4,2,2,1,8,17,0,2,1,1,2,2,2,1,1,2,0,3,2,0,0,53
HEAVY PASSENGER VEHICLE,0,3,3,3,2,8,1,0,0,0,1,2,0,0,0,0,0,2,5,0,0,30
LIGHT GOODS VEHICLE,255,201,233,206,178,144,205,146,173,208,200,183,231,163,183,129,127,144,144,114,23,3590
LIGHT MOTOR VEHICLE,1322,834,942,917,868,901,1037,883,982,1297,1081,1105,1356,1097,1031,861,1040,1029,985,1002,134,20704
LIGHT PASSENGER VEHICLE,264,208,234,208,195,183,246,183,171,275,227,142,15,168,279,145,193,216,200,219,33,4004
MEDIUM GOODS VEHICLE,3,4,3,4,4,3,4,1,4,2,3,4,1,13,16,8,6,4,4,6,0,97
MEDIUM MOTOR VEHICLE,2,1,15,2,0,3,0,0,0,0,0,1,1,1,0,1,0,25,1,3,0,56
MEDIUM PASSENGER VEHICLE,3,0,8,2,3,0,4,1,3,7,3,1,3,14,7,3,1,17,6,0,0,86
OTHER THAN MENTIONED ABOVE,47,51,57,34,31,20,8,12,18,38,43,31,40,59,69,27,23,30,18,22,9,687
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,1,1,2,0,3,1,0,1,0,0,1,0,1,0,2,1,2,1,0,17
THREE WHEELER(T),60,58,51,70,95,110,133,85,100,112,191,77,109,82,119,112,132,106,109,132,21,2064
TWO WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWO WHEELER(NT),1791,1593,1916,1959,1974,1870,2109,2126,2207,2958,2289,1649,2001,1958,2035,2315,2405,2606,2337,2288,469,42855
TWO WHEELER(T),3,5,0,0,3,1,0,0,1,6,5,3,2,2,8,1,9,7,5,1,0,62
Total,3816,2973,3497,3460,3415,3274,3784,3459,3698,4938,4101,3242,3812,3616,3830,3647,3976,4247,3857,3813,691,75146
