"Vehicle Category and Month Wise Data for Manipur (2016-2018)"\n\nVehicle Category,2016-Jan,2016-Feb,2016-Mar,2016-Apr,2016-May,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Oct,2016-Nov,2016-Dec,2017-Jan,2017-Feb,2017-Mar,2017-Apr,2017-May,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Oct,2017-Nov,2017-Dec,2018-Jan,2018-Feb,2018-Mar,2018-Apr,2018-May,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Oct,2018-Nov,2018-Dec,Total
FOUR WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEAVY GOODS VEHICLE,41,45,57,45,40,50,47,38,48,84,36,54,19,47,118,53,28,38,31,38,63,51,78,88,47,45,59,43,38,31,19,15,39,58,27,45,1703
HEAVY MOTOR VEHICLE,2,3,22,5,3,2,3,0,2,6,0,0,6,7,1,8,0,2,1,0,0,0,1,0,0,0,1,1,3,0,0,0,0,6,1,2,88
HEAVY PASSENGER VEHICLE,4,2,2,2,10,7,3,3,3,7,5,6,1,8,42,3,10,7,0,4,2,3,5,3,3,3,5,2,2,10,5,1,1,18,5,2,199
LIGHT GOODS VEHICLE,40,107,108,65,55,79,79,49,86,52,52,51,53,65,100,61,42,67,59,46,35,144,86,175,111,59,124,141,120,103,130,151,111,94,92,72,3064
LIGHT MOTOR VEHICLE,525,581,843,470,510,563,704,666,627,713,577,461,433,557,679,678,551,685,762,388,448,635,667,959,747,453,690,772,772,627,699,806,620,703,598,624,22793
LIGHT PASSENGER VEHICLE,7,19,17,7,7,18,15,10,16,11,18,4,7,9,21,14,10,9,9,7,8,18,9,25,19,7,13,25,17,14,22,19,19,29,30,30,539
MEDIUM GOODS VEHICLE,3,6,4,2,1,2,3,3,2,3,3,6,8,3,6,8,2,4,4,3,13,6,18,17,12,5,3,6,5,5,4,5,4,2,1,1,183
MEDIUM MOTOR VEHICLE,1,4,3,2,2,3,1,3,7,3,3,1,2,2,2,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,1,0,46
MEDIUM PASSENGER VEHICLE,6,1,2,2,1,1,5,2,3,5,1,2,3,2,10,4,1,13,0,2,6,5,4,4,3,3,4,0,2,0,10,6,4,13,2,5,137
OTHER THAN MENTIONED ABOVE,1,1,2,5,2,1,0,4,1,0,0,1,1,6,2,1,2,3,4,1,2,0,0,0,3,6,9,1,8,4,8,4,2,8,6,15,114
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6
THREE WHEELER(T),79,194,217,48,86,82,94,92,111,100,49,56,60,60,90,159,104,101,112,73,44,137,96,88,87,108,81,70,52,69,73,63,85,45,58,68,3191
TWO WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWO WHEELER(NT),864,1888,1677,1556,1616,1318,2009,1912,2217,2326,1268,1105,946,961,2078,886,1196,2121,2002,805,624,2221,2107,1914,2325,1158,1511,1722,1780,1668,2789,1985,1746,2100,1958,1922,60281
TWO WHEELER(T),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,1573,2853,2954,2209,2333,2126,2963,2782,3123,3310,2012,1747,1539,1727,3149,1875,1946,3050,2985,1369,1245,3220,3071,3273,3360,1847,2500,2783,2799,2532,3759,3055,2632,3078,2779,2786,92344
