"Vehicle Category and Month Wise Data for Madhya Pradesh (2022-2024)"\n\nVehicle Category,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
FOUR WHEELER (Invalid Carriage),1,0,1,0,0,0,1,1,0,1,0,0,0,2,2,0,2,0,1,2,3,2,1,1,0,1,1,1,0,1,0,0,0,1,0,1,27
HEAVY GOODS VEHICLE,488,339,569,671,533,425,301,388,337,453,514,498,431,493,592,485,418,337,250,199,340,591,610,701,661,766,760,715,567,503,569,369,530,807,603,543,18356
HEAVY MOTOR VEHICLE,14,16,43,25,26,29,25,19,14,16,10,30,27,35,13,7,4,8,7,9,4,2,14,7,6,5,4,6,11,2,6,2,6,5,3,12,472
HEAVY PASSENGER VEHICLE,12,11,16,24,27,13,7,4,28,20,24,39,12,22,46,60,51,60,78,74,58,102,113,104,126,159,207,148,128,101,180,185,209,322,146,152,3068
LIGHT GOODS VEHICLE,1711,1761,1994,1722,1776,1624,1715,1665,1754,1721,3023,2371,2606,2780,2451,1651,1600,1620,1644,1685,1954,2379,2679,1889,2282,2122,1996,1951,1768,1620,1694,1602,1869,2960,2448,1740,71827
LIGHT MOTOR VEHICLE,21326,19167,23114,16627,22339,21167,24336,28901,14834,26675,21206,23193,27841,26096,29459,13426,22573,25796,23866,23121,19741,21695,26454,22888,32175,28368,26032,25027,20440,21367,25056,20428,17650,32844,25107,24085,844420
LIGHT PASSENGER VEHICLE,428,328,447,472,538,514,549,634,497,438,346,331,515,565,645,467,536,670,925,729,674,675,543,334,750,736,690,716,616,840,1101,870,638,970,566,508,21801
MEDIUM GOODS VEHICLE,51,27,31,62,18,47,19,37,35,34,37,38,33,45,33,26,38,35,303,420,92,119,90,87,76,78,48,45,42,41,46,34,41,56,44,41,2349
MEDIUM MOTOR VEHICLE,212,194,397,174,219,140,87,99,189,167,202,327,221,146,122,38,69,146,73,67,64,100,87,86,73,56,44,53,49,35,41,33,38,67,65,109,4289
MEDIUM PASSENGER VEHICLE,66,53,39,53,85,82,115,124,125,101,80,67,36,52,51,81,70,106,134,133,100,115,73,85,97,141,94,98,88,136,193,138,139,169,88,93,3500
OTHER THAN MENTIONED ABOVE,135,128,237,154,227,215,145,108,431,153,269,804,363,616,736,289,438,576,173,219,359,401,312,317,455,599,722,394,483,308,235,274,369,577,374,374,12969
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,3,19,10,1,1,10,1,1,2,2,1,0,0,0,1,3,6,6,2,2,76
THREE WHEELER(T),1549,1194,1541,1304,1518,1676,1919,1895,2223,2029,3675,3048,2851,3112,4800,2268,3799,3987,5112,4772,4376,4710,5402,4557,4585,4380,4186,2961,3849,3986,4803,4334,4309,5282,5472,3983,125447
TWO WHEELER (Invalid Carriage),8,3,5,4,7,6,7,3,0,3,4,0,93,7,0,1,0,17,24,22,15,198,31,78,99,17,2,5,3,2,0,0,0,11,0,3,678
TWO WHEELER(NT),75049,69322,76259,75150,94600,83419,81586,98179,53269,137224,130353,65040,80373,75211,100838,65007,97438,79837,71114,75091,75553,101022,207526,89263,92866,89357,97171,121740,96683,82179,84793,75219,64710,145542,249097,66910,3423990
TWO WHEELER(T),1,2,1,0,2,4,1,1,1,3,3,2,0,1,1,1,6,2,1,2,3,3,2,1,4,5,3,5,1,0,1,5,13,4,6,1,92
Total,101051,92545,104694,96442,121916,109362,110813,132058,73737,169038,159746,95788,115403,109185,139789,83807,127045,113216,103715,106546,103337,132124,243938,120399,134257,126792,131961,153865,124728,111121,118719,103496,90527,189623,284021,98557,4533361
