"Vehicle Category and Month Wise Data for Madhya Pradesh (2025-2026)"\n\nVehicle Category,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
FOUR WHEELER (Invalid Carriage),0,0,5,0,2,1,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0,14
HEAVY GOODS VEHICLE,677,658,626,721,459,370,331,346,474,794,793,733,938,983,913,939,565,582,605,572,113,13192
HEAVY MOTOR VEHICLE,10,11,6,11,5,16,5,8,3,6,7,2,8,15,15,9,1,3,17,6,1,165
HEAVY PASSENGER VEHICLE,192,146,219,232,148,137,226,229,258,295,164,156,166,169,123,154,106,72,123,137,29,3481
LIGHT GOODS VEHICLE,2385,2038,2348,1676,1411,1440,1687,1710,2048,3604,2441,1999,3009,2693,3190,1944,1918,1992,2302,2116,312,44263
LIGHT MOTOR VEHICLE,36307,26392,35763,20692,20570,20799,22740,20436,20579,37081,28925,26793,39757,37296,43342,20945,23994,25701,26743,21651,3010,559516
LIGHT PASSENGER VEHICLE,1054,738,996,802,713,901,1799,1715,814,1287,825,771,1480,1337,1578,889,993,1289,1749,1340,201,23271
MEDIUM GOODS VEHICLE,113,49,51,62,59,52,41,25,55,89,83,44,131,97,113,81,106,61,70,46,13,1441
MEDIUM MOTOR VEHICLE,51,47,62,42,44,39,12,7,15,8,6,11,8,11,6,10,8,12,14,6,3,422
MEDIUM PASSENGER VEHICLE,169,107,122,139,104,176,264,213,182,123,121,117,142,113,107,136,80,105,219,327,55,3121
OTHER THAN MENTIONED ABOVE,590,713,890,422,376,450,267,352,516,599,423,407,637,780,902,414,377,297,326,377,60,10175
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),4,8,4,3,0,2,2,4,0,0,1,2,0,1,2,7,11,9,4,12,3,79
THREE WHEELER(T),4523,3734,4019,3743,4220,4262,5406,4353,4551,6587,5464,4417,5275,4750,4857,3489,4548,5115,6182,5594,697,95786
TWO WHEELER (Invalid Carriage),5,2,1,1,7,1,52,5,2,1,1,0,2,2,3,1,4,1,0,2,1,94
TWO WHEELER(NT),92159,82223,93748,116814,108253,78065,70327,74678,75758,266904,144947,67451,112301,102466,116484,120222,102600,92869,88049,84655,14991,2105964
TWO WHEELER(T),20,2,4,0,3,8,10,11,6,11,7,3,7,0,2,0,60,3,17,5,6,185
Total,138259,116868,138864,145360,136374,106719,103170,104092,105261,317392,184209,102906,163861,150713,171638,149240,135371,128111,126420,116846,19495,2861169
