"Vehicle Category and Month Wise Data for Mizoram (2016-2018)"\n\nVehicle Category,2016-Jan,2016-Feb,2016-Mar,2016-Apr,2016-May,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Oct,2016-Nov,2016-Dec,2017-Jan,2017-Feb,2017-Mar,2017-Apr,2017-May,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Oct,2017-Nov,2017-Dec,2018-Jan,2018-Feb,2018-Mar,2018-Apr,2018-May,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Oct,2018-Nov,2018-Dec,Total
FOUR WHEELER (Invalid Carriage),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HEAVY GOODS VEHICLE,23,33,28,19,24,19,18,13,15,25,32,33,27,75,57,60,15,14,23,12,5,12,37,23,44,73,51,40,41,4,12,25,10,14,20,26,1002
HEAVY MOTOR VEHICLE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
HEAVY PASSENGER VEHICLE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LIGHT GOODS VEHICLE,65,80,94,54,43,63,50,66,60,56,73,39,83,110,99,63,53,61,133,80,85,85,86,94,110,118,111,87,131,84,94,103,113,152,113,107,3098
LIGHT MOTOR VEHICLE,164,154,178,151,182,160,167,175,199,226,187,220,193,221,261,169,232,211,221,184,196,256,241,265,285,198,242,271,304,242,260,301,267,330,337,387,8237
LIGHT PASSENGER VEHICLE,16,18,24,20,15,13,26,11,29,60,74,100,99,104,95,57,73,50,65,45,65,65,62,78,50,70,50,55,61,58,69,65,54,98,92,66,2052
MEDIUM GOODS VEHICLE,3,5,5,4,2,1,2,4,0,4,6,0,3,2,5,3,0,3,0,4,6,10,12,16,15,12,5,16,20,1,1,2,7,4,5,4,192
MEDIUM MOTOR VEHICLE,0,2,3,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,17
MEDIUM PASSENGER VEHICLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,6
OTHER THAN MENTIONED ABOVE,11,20,16,12,13,6,5,5,3,6,13,12,8,22,22,25,14,12,16,3,15,7,14,10,16,18,25,24,31,17,14,16,13,17,11,22,514
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6
THREE WHEELER(T),15,20,26,31,8,15,27,33,24,67,41,21,20,44,167,23,17,23,18,17,26,40,35,30,22,24,12,10,19,24,31,30,25,44,34,33,1096
TWO WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWO WHEELER(NT),877,736,903,810,904,890,845,1055,993,916,889,883,914,984,1295,1129,1252,1092,1260,1163,992,1637,1408,1239,1135,1169,1076,1130,1511,1410,1619,1623,1444,1697,1599,1642,42121
TWO WHEELER(T),0,0,0,0,0,1,0,0,0,1,2,2,2,1,1,0,5,2,8,2,11,18,11,10,7,7,4,5,13,40,16,25,19,12,14,5,244
Total,1174,1068,1278,1102,1192,1169,1140,1363,1323,1362,1317,1310,1350,1567,2004,1529,1662,1468,1745,1510,1403,2130,1907,1765,1684,1690,1579,1641,2131,1880,2118,2190,1953,2368,2225,2292,58589
