"Vehicle Category and Month Wise Data for Mizoram (2025-2026)"\n\nVehicle Category,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
FOUR WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEAVY GOODS VEHICLE,26,17,7,24,16,12,18,4,46,33,40,29,28,37,39,40,21,16,39,17,0,509
HEAVY MOTOR VEHICLE,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
HEAVY PASSENGER VEHICLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIGHT GOODS VEHICLE,146,139,143,139,154,94,130,54,201,194,153,125,201,166,230,134,182,170,253,185,19,3212
LIGHT MOTOR VEHICLE,416,294,399,399,342,320,372,295,339,400,435,388,434,290,397,319,453,366,391,349,32,7430
LIGHT PASSENGER VEHICLE,34,27,40,33,33,36,34,27,55,69,44,41,53,42,61,33,55,56,47,44,2,866
MEDIUM GOODS VEHICLE,12,16,14,7,8,10,4,4,8,7,11,6,15,18,24,13,14,32,10,11,3,247
MEDIUM MOTOR VEHICLE,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,8
MEDIUM PASSENGER VEHICLE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
OTHER THAN MENTIONED ABOVE,5,12,11,11,8,15,4,14,9,6,6,10,11,14,11,8,7,7,13,4,2,188
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(T),2,8,8,6,10,3,8,3,11,13,10,7,7,11,16,19,15,15,19,28,2,221
TWO WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWO WHEELER(NT),1755,1665,1923,2238,1956,1820,1916,1850,1912,2077,1802,2068,2454,1879,2295,2228,2240,2402,2685,2188,324,41677
TWO WHEELER(T),7,13,23,14,13,22,28,51,14,15,10,10,24,23,39,26,33,39,43,32,4,483
Total,2404,2191,2568,2874,2541,2332,2514,2302,2595,2814,2512,2684,3228,2481,3112,2821,3020,3104,3502,2858,388,54845
