"Vehicle Category and Month Wise Data for Nagaland (2019-2021)"\n\nVehicle Category,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec,Total
FOUR WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEAVY GOODS VEHICLE,1291,1209,1747,1117,1102,853,979,858,550,675,528,564,722,1219,1312,144,7,7,6,10,104,201,269,248,410,522,820,708,164,263,535,492,652,563,472,425,21748
HEAVY MOTOR VEHICLE,21,40,30,11,23,14,21,14,11,0,4,1,2,5,4,0,0,0,1,0,1,1,1,0,1,6,3,0,0,2,0,0,4,3,0,0,224
HEAVY PASSENGER VEHICLE,51,27,34,50,38,31,28,37,72,79,51,43,27,18,112,39,0,1,0,0,1,2,5,1,0,5,8,8,0,2,6,7,6,6,0,4,799
LIGHT GOODS VEHICLE,98,77,128,83,71,80,75,73,63,88,99,44,87,74,127,132,1,2,6,12,87,61,90,64,86,132,111,129,18,18,143,109,95,99,128,49,2839
LIGHT MOTOR VEHICLE,701,510,649,519,520,613,609,542,468,582,675,461,782,571,621,260,92,125,21,329,798,674,826,582,744,837,936,737,128,49,1022,749,677,556,668,536,20169
LIGHT PASSENGER VEHICLE,71,84,73,42,31,54,95,45,48,47,56,65,35,55,38,44,1,4,0,2,23,12,24,22,15,33,28,48,5,10,32,27,23,24,31,22,1269
MEDIUM GOODS VEHICLE,20,24,31,11,13,26,20,12,4,2,4,4,4,13,7,1,0,0,0,1,1,13,3,9,16,8,21,18,2,6,6,13,8,9,7,9,346
MEDIUM MOTOR VEHICLE,47,44,97,33,34,16,25,10,17,14,8,6,11,7,19,5,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,3,0,0,0,403
MEDIUM PASSENGER VEHICLE,6,4,7,6,12,10,6,12,7,5,6,1,2,4,4,5,0,0,0,0,7,2,1,0,2,3,3,1,1,0,0,4,1,2,0,3,127
OTHER THAN MENTIONED ABOVE,76,87,112,66,54,54,54,26,44,26,45,22,30,38,25,8,4,1,2,1,9,15,23,18,29,44,72,31,13,9,49,20,66,57,25,24,1279
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(T),107,74,61,107,182,63,95,102,83,82,91,89,17,119,94,26,7,0,0,3,9,7,26,27,31,23,24,29,0,1,19,19,31,40,32,20,1740
TWO WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWO WHEELER(NT),441,487,628,480,548,544,543,462,546,422,416,292,431,621,412,301,111,144,3,345,723,469,699,421,514,646,579,558,125,43,578,575,578,646,582,348,16261
TWO WHEELER(T),0,0,0,0,0,0,0,0,0,0,45,9,3,3,1,8,0,0,0,0,0,1,0,1,0,9,10,4,0,0,2,2,2,5,11,10,126
Total,2930,2667,3597,2525,2628,2358,2550,2193,1913,2022,2028,1601,2153,2747,2776,973,223,284,39,703,1766,1461,1967,1393,1849,2268,2615,2271,456,403,2392,2017,2146,2010,1956,1450,67330
