"Vehicle Category and Month Wise Data for Odisha (2016-2018)"\n\nVehicle Category,2016-Jan,2016-Feb,2016-Mar,2016-Apr,2016-May,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Oct,2016-Nov,2016-Dec,2017-Jan,2017-Feb,2017-Mar,2017-Apr,2017-May,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Oct,2017-Nov,2017-Dec,2018-Jan,2018-Feb,2018-Mar,2018-Apr,2018-May,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Oct,2018-Nov,2018-Dec,Total
FOUR WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,3
HEAVY GOODS VEHICLE,833,823,848,1025,1044,934,634,638,587,690,829,882,910,1030,1370,1196,811,666,754,758,761,1091,1112,919,1281,1300,1352,1420,1303,1152,1177,1225,1176,1479,1270,1369,36649
HEAVY MOTOR VEHICLE,24,9,13,5,17,12,7,13,0,6,12,11,7,13,14,18,9,18,14,9,10,22,13,12,5,20,23,26,25,15,12,10,20,24,17,19,504
HEAVY PASSENGER VEHICLE,29,27,43,30,23,30,34,20,32,26,42,40,30,32,65,44,34,25,18,33,22,31,74,40,26,26,35,21,17,25,29,10,20,18,99,83,1233
LIGHT GOODS VEHICLE,2477,3091,3086,2724,2470,2033,2400,2195,2469,2517,2851,2845,2214,2697,3588,2502,2964,2452,3566,3002,2952,3476,3401,2206,2503,3033,3566,3584,3012,2977,2988,2753,2258,2738,3075,2994,101659
LIGHT MOTOR VEHICLE,4298,3441,3324,3484,3247,3199,3157,3153,3240,3659,4844,3974,4307,4195,3935,3870,4328,3870,4906,4027,3949,6377,4542,3777,5309,4419,4804,5453,4497,4401,4367,4547,3837,5733,5789,4885,153144
LIGHT PASSENGER VEHICLE,550,477,508,491,407,445,448,438,362,502,582,503,453,441,521,457,517,486,473,386,433,673,488,492,552,497,611,539,461,501,506,504,470,614,574,535,17897
MEDIUM GOODS VEHICLE,127,166,153,134,131,92,74,105,81,94,124,152,151,149,195,120,106,102,147,90,92,87,122,122,133,161,156,176,161,115,123,92,93,92,95,111,4424
MEDIUM MOTOR VEHICLE,13,16,9,8,8,17,11,12,7,11,16,7,11,10,23,19,8,14,32,13,13,11,19,18,9,21,15,24,33,19,16,29,49,43,26,51,661
MEDIUM PASSENGER VEHICLE,72,29,35,62,49,33,28,31,23,54,37,34,39,31,57,71,29,33,25,30,42,61,19,25,41,34,44,39,28,34,36,38,35,127,44,40,1489
OTHER THAN MENTIONED ABOVE,28,25,25,17,14,15,17,16,16,12,13,23,29,28,43,29,27,21,22,10,12,23,26,16,29,35,57,48,56,50,48,45,28,66,101,75,1145
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,3,1,0,0,0,1,0,1,12
THREE WHEELER(T),1416,1651,1522,1476,1427,1524,1583,1477,1506,1768,1974,1613,1106,1390,1845,1933,1612,1259,1321,1234,1267,1979,1862,1389,1473,1548,1871,1801,1621,1593,1852,1710,1477,1964,2049,1720,57813
TWO WHEELER (Invalid Carriage),0,1,0,1,1,1,1,1,3,0,2,0,1,4,1,0,1,3,5,1,2,3,0,0,1,1,12,2,3,4,1,2,3,5,4,7,77
TWO WHEELER(NT),37828,42157,46348,47419,48903,47060,42325,39047,36157,48011,58189,42905,34378,48218,55472,63098,69317,48809,57584,45410,40069,72333,63226,45826,45887,57193,70629,73908,68969,62943,60754,49906,44151,61112,72257,51600,1899398
TWO WHEELER(T),2,6,3,3,1,6,4,2,4,1,6,6,4,1,5,5,7,4,4,2,7,6,4,4,8,6,7,9,1,4,7,3,3,9,9,5,168
Total,47697,51919,55917,56879,57742,55401,50723,47148,44487,57351,69522,52995,43640,58239,67134,73362,79770,57762,68871,55005,49631,86173,74908,54847,57258,68294,83184,87052,80191,73834,71916,60874,53620,74025,85410,63495,2276276
