"Vehicle Category and Month Wise Data for Punjab (2022-2024)"\n\nVehicle Category,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
FOUR WHEELER (Invalid Carriage),0,1,1,2,3,0,0,1,2,2,0,3,2,1,2,2,1,1,1,0,1,1,2,2,3,1,2,1,2,0,0,0,1,0,2,0,43
HEAVY GOODS VEHICLE,512,553,646,879,650,552,502,374,355,516,435,452,466,614,816,892,639,547,441,469,451,522,447,418,579,626,607,773,534,487,639,424,565,393,373,307,19455
HEAVY MOTOR VEHICLE,4,7,4,3,4,10,5,5,2,2,4,8,2,4,9,12,7,10,1,6,2,4,4,3,8,6,5,12,4,8,8,10,1,3,3,7,197
HEAVY PASSENGER VEHICLE,179,202,192,203,56,14,3,6,3,14,8,13,10,13,10,23,12,12,1,8,17,7,22,3,34,10,13,16,3,5,83,7,35,11,35,10,1293
LIGHT GOODS VEHICLE,921,826,909,1043,1006,910,842,721,680,713,817,918,793,1241,1070,974,1049,947,983,997,1065,983,915,888,1047,1112,1034,892,1257,806,1018,954,1034,502,763,788,33418
LIGHT MOTOR VEHICLE,11853,11287,13049,12175,11788,11020,10911,11321,9861,11484,9947,14434,12656,13249,14538,11192,12751,19626,10450,11192,12665,11817,13895,14765,16034,15380,16706,14198,13288,12290,14578,14389,12397,17441,13480,17458,475565
LIGHT PASSENGER VEHICLE,312,288,341,339,715,550,620,592,537,519,564,565,620,611,771,659,905,852,974,986,965,780,675,974,1127,1132,1066,1184,1223,910,1253,1097,1105,768,1052,913,28544
MEDIUM GOODS VEHICLE,69,56,73,102,63,45,44,24,24,51,74,41,28,69,81,61,66,50,37,38,74,58,49,41,73,45,45,63,64,67,63,62,84,40,60,36,2020
MEDIUM MOTOR VEHICLE,4,10,9,14,18,18,8,8,9,12,8,12,13,22,16,8,25,34,5,2,9,11,6,6,26,46,24,38,22,34,26,11,31,19,17,21,602
MEDIUM PASSENGER VEHICLE,7,12,9,17,41,26,11,8,15,11,25,24,16,24,34,52,54,48,33,43,33,33,34,19,30,51,47,38,52,27,53,102,62,26,44,20,1181
OTHER THAN MENTIONED ABOVE,130,354,587,292,243,165,193,189,224,124,122,274,244,325,438,206,236,1650,124,130,221,200,152,237,323,484,462,310,356,233,304,421,432,317,209,228,11139
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,1,1,0,0,0,0,0,0,22
THREE WHEELER(T),420,594,568,688,799,703,703,637,935,966,1244,1334,904,1076,1494,1045,1885,1803,1804,2059,2283,2401,2051,1701,1892,2659,3572,2640,2714,1788,2458,1969,2170,1568,2124,1496,57147
TWO WHEELER (Invalid Carriage),1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
TWO WHEELER(NT),28300,24507,31497,29948,30371,28250,27074,32594,27411,37247,46859,36000,33128,34553,36804,28266,32431,30204,33581,34766,35816,34026,48691,45517,33564,34399,35890,34285,35638,28841,36570,38244,29246,44776,59462,53769,1272525
TWO WHEELER(T),3,0,2,0,13,1,6,7,3,10,9,2,1,2,1,4,5,4,3,11,7,1,4,1,1,2,1,1,1,0,0,5,1,1,0,0,113
Total,42715,38697,47888,45705,45770,42264,40924,46487,40061,51671,60117,54080,48883,51804,56084,43396,50066,55788,48438,50707,53609,50844,66947,64575,54741,55953,59490,54455,55159,45497,57053,57695,47164,65865,77624,75054,1903270
