"Vehicle Category and Month Wise Data for Punjab (2025-2026)"\n\nVehicle Category,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
FOUR WHEELER (Invalid Carriage),1,0,2,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,8
HEAVY GOODS VEHICLE,500,416,537,463,568,474,487,396,316,418,499,537,762,608,583,683,456,554,495,476,125,10353
HEAVY MOTOR VEHICLE,4,8,10,2,4,13,0,7,3,1,1,1,2,1,2,3,7,6,2,3,0,80
HEAVY PASSENGER VEHICLE,34,42,33,7,11,16,17,18,14,9,7,11,6,5,169,115,45,17,28,16,8,628
LIGHT GOODS VEHICLE,1087,958,884,492,854,1030,1136,984,965,1109,1123,1268,1325,1196,1152,1372,1030,1251,1217,1182,172,21787
LIGHT MOTOR VEHICLE,19142,14907,16084,15995,14777,15090,16593,15067,13659,23260,19593,22167,26013,21846,21791,21415,18620,20308,19336,19853,3855,379371
LIGHT PASSENGER VEHICLE,1240,1000,1148,870,1207,1172,1009,775,1024,898,935,1036,273,526,1505,1614,1397,1166,1410,1077,228,21510
MEDIUM GOODS VEHICLE,69,53,70,40,70,76,71,69,62,54,67,64,81,84,54,92,65,67,80,76,13,1377
MEDIUM MOTOR VEHICLE,18,12,32,15,29,58,11,7,8,8,7,16,5,6,8,11,11,14,18,16,3,313
MEDIUM PASSENGER VEHICLE,37,55,51,27,89,62,78,70,60,29,49,46,22,11,54,45,68,60,69,56,8,1046
OTHER THAN MENTIONED ABOVE,384,428,451,388,355,313,268,374,391,345,217,239,313,446,476,326,261,240,251,392,96,6954
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(T),1757,1348,1628,820,1194,1573,2044,1505,1333,1131,1340,1375,1461,1412,1318,1990,1563,1949,1919,1939,347,30946
TWO WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWO WHEELER(NT),39665,38037,40415,35181,38251,34009,40462,36497,31065,66829,98640,43233,51727,42902,44397,44690,43569,45007,48068,49559,9365,921568
TWO WHEELER(T),1,3,0,0,2,6,5,7,2,8,0,6,1,2,0,0,0,2,3,1,0,49
Total,63939,57267,61345,54301,57411,53892,62181,55777,48902,94100,122478,70000,81991,69045,71510,72356,67092,70641,72896,74646,14220,1395990
