"Vehicle Category and Month Wise Data for Puducherry (2016-2018)"\n\nVehicle Category,2016-Jan,2016-Feb,2016-Mar,2016-Apr,2016-May,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Oct,2016-Nov,2016-Dec,2017-Jan,2017-Feb,2017-Mar,2017-Apr,2017-May,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Oct,2017-Nov,2017-Dec,2018-Jan,2018-Feb,2018-Mar,2018-Apr,2018-May,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Oct,2018-Nov,2018-Dec,Total
FOUR WHEELER (Invalid Carriage),0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
HEAVY GOODS VEHICLE,0,0,5,3,3,0,1,1,2,0,12,0,2,1,2,1,5,3,2,2,1,1,11,2,6,0,5,1,3,0,2,4,1,3,1,1,87
HEAVY MOTOR VEHICLE,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7
HEAVY PASSENGER VEHICLE,25,12,15,17,31,25,32,28,37,25,25,20,27,39,102,40,11,14,8,6,23,4,4,24,17,6,5,15,16,8,14,17,12,17,1,14,736
LIGHT GOODS VEHICLE,41,54,39,41,24,32,48,52,44,37,44,34,42,41,69,39,35,41,32,38,36,36,42,32,43,39,51,57,65,52,64,41,55,56,41,26,1563
LIGHT MOTOR VEHICLE,741,585,703,630,618,705,700,812,783,713,612,586,891,728,906,716,756,1141,754,853,825,859,641,596,958,597,758,679,773,783,738,863,678,804,654,621,26760
LIGHT PASSENGER VEHICLE,24,19,30,32,23,29,35,23,22,29,21,21,27,27,46,26,39,33,24,30,14,25,19,20,15,26,48,24,22,38,23,37,37,38,24,32,1002
MEDIUM GOODS VEHICLE,0,1,2,0,0,3,1,6,0,1,1,1,3,0,1,2,1,1,0,1,0,0,0,0,0,0,2,0,1,0,2,1,0,2,1,2,36
MEDIUM MOTOR VEHICLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,1,0,2,0,8
MEDIUM PASSENGER VEHICLE,3,0,4,1,2,3,1,1,2,9,3,5,1,2,1,3,3,5,7,10,8,4,6,3,2,0,2,4,15,2,11,15,7,7,8,0,160
OTHER THAN MENTIONED ABOVE,0,4,0,2,2,5,0,0,2,2,0,1,1,5,2,3,1,0,2,2,1,2,2,2,2,1,2,0,2,0,2,1,2,1,0,0,54
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
THREE WHEELER(T),15,24,24,23,31,28,31,33,27,24,29,14,17,15,10,8,5,8,4,3,10,4,15,8,3,11,17,10,9,7,16,15,11,15,7,14,545
TWO WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,1,0,0,1,0,0,0,16,0,2,2,0,1,0,0,1,1,8,2,1,44
TWO WHEELER(NT),4921,4707,4813,4508,4732,5320,5088,5971,5392,4926,4020,2518,5148,4749,5739,5034,5417,6814,4599,4994,4234,4877,3495,2675,5798,4530,4847,4578,4787,5176,5344,5280,4139,4347,3818,2748,170083
TWO WHEELER(T),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,5770,5406,5636,5258,5466,6151,5938,6928,6313,5766,4768,3201,6159,5614,6879,5872,6274,8060,5435,5942,5153,5812,4235,3378,6845,5212,5741,5370,5694,6066,6216,6276,4944,5299,4559,3459,201095
