"Vehicle Category and Month Wise Data for Puducherry (2025-2026)"\n\nVehicle Category,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
FOUR WHEELER (Invalid Carriage),0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,6
HEAVY GOODS VEHICLE,1,7,3,8,3,3,12,4,6,6,1,3,0,6,4,3,5,7,4,2,2,90
HEAVY MOTOR VEHICLE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
HEAVY PASSENGER VEHICLE,6,13,4,6,4,9,11,11,5,33,7,2,8,16,32,17,17,7,16,10,5,239
LIGHT GOODS VEHICLE,40,30,30,31,38,159,79,22,32,42,27,32,45,51,52,39,39,32,57,29,11,917
LIGHT MOTOR VEHICLE,1616,1051,1059,1316,1001,992,1093,994,886,1329,1067,1321,1705,1207,1442,1376,1311,1498,1329,1441,242,25276
LIGHT PASSENGER VEHICLE,55,55,87,77,56,54,83,72,73,65,69,42,96,87,87,86,69,82,98,78,18,1489
MEDIUM GOODS VEHICLE,0,7,2,0,0,1,0,1,0,5,2,0,1,8,1,1,4,4,3,3,0,43
MEDIUM MOTOR VEHICLE,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,7
MEDIUM PASSENGER VEHICLE,2,1,5,9,9,13,16,7,13,7,14,19,7,9,8,12,10,25,20,16,4,226
OTHER THAN MENTIONED ABOVE,0,1,2,5,3,1,0,0,0,0,1,2,1,4,4,2,1,2,1,2,2,34
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),1,0,0,2,0,1,0,0,2,0,1,2,1,0,1,1,0,0,3,1,0,16
THREE WHEELER(T),36,51,51,55,49,77,105,42,42,46,51,41,63,79,68,53,52,61,78,72,14,1186
TWO WHEELER (Invalid Carriage),1,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,52,2,0,203
TWO WHEELER(NT),5917,4185,4231,4564,4553,4622,4943,4175,4081,5765,4515,4046,7437,5594,5969,5220,4984,6228,6419,5779,938,104165
TWO WHEELER(T),3,6,4,0,3,2,7,6,1,47,25,146,19,53,75,71,80,63,61,132,14,818
Total,7679,5407,5622,6076,5720,5935,6349,5334,5141,7346,5781,5658,9383,7116,7743,6882,6573,8013,8141,7567,1250,134716
