"Vehicle Category and Month Wise Data for Rajasthan (2019-2021)"\n\nVehicle Category,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec,Total
FOUR WHEELER (Invalid Carriage),5,9,9,6,2,4,4,5,3,5,8,9,7,5,5,5,0,4,3,4,8,7,3,7,8,18,12,10,1,13,9,9,4,4,8,6,229
HEAVY GOODS VEHICLE,2841,2773,3900,2582,1865,1441,1350,1373,1269,1588,1394,1293,1522,1975,2555,317,1,3,123,156,367,496,801,1193,1435,1658,1886,1731,647,985,1083,1260,1692,1902,1438,1592,50487
HEAVY MOTOR VEHICLE,40,35,39,40,36,26,17,16,13,27,35,18,32,27,49,42,0,8,27,18,30,21,35,22,22,29,125,59,5,46,30,23,24,22,17,11,1066
HEAVY PASSENGER VEHICLE,56,87,53,83,89,73,111,112,86,111,56,77,63,292,594,446,0,1,0,0,6,5,4,8,4,29,25,44,1,24,18,18,15,14,16,17,2638
LIGHT GOODS VEHICLE,3060,3150,3166,3173,3154,2514,2746,2246,2128,2596,3511,2959,3518,3649,5098,1740,54,764,1745,1433,1991,1951,2450,2472,2108,2156,2151,1550,243,1815,2455,2039,1801,1797,2351,2202,83936
LIGHT MOTOR VEHICLE,23295,20166,19793,20255,21103,18752,18594,14477,11713,22796,23815,19934,23155,20533,17282,3256,4881,16349,22445,16742,17170,21992,26902,27195,23198,23837,23188,16019,4907,21148,25735,19268,18188,18553,23371,21935,691942
LIGHT PASSENGER VEHICLE,741,1076,870,877,909,646,1044,960,728,779,760,562,710,750,1036,339,29,139,210,133,206,210,230,243,265,300,388,233,54,317,416,392,414,332,372,578,18248
MEDIUM GOODS VEHICLE,37,54,33,54,40,26,17,18,17,43,25,24,23,42,60,22,0,0,3,10,46,37,42,44,56,55,75,48,17,49,89,88,70,78,83,68,1493
MEDIUM MOTOR VEHICLE,50,31,54,41,42,37,39,43,22,26,24,29,17,29,45,23,1,44,35,29,45,33,24,49,50,52,98,25,10,35,32,28,49,54,40,30,1315
MEDIUM PASSENGER VEHICLE,50,73,71,85,109,58,136,140,118,57,61,35,62,46,205,78,0,0,1,0,7,8,6,9,60,42,30,12,3,54,35,19,11,16,25,13,1735
OTHER THAN MENTIONED ABOVE,425,416,480,466,426,332,363,298,276,325,488,364,265,465,584,273,29,381,405,349,591,442,374,677,399,546,1255,502,36,412,562,340,537,314,419,295,15111
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,9
THREE WHEELER(T),1958,1708,1679,1496,1644,1358,2036,1820,1460,1938,2628,2431,2316,2360,4493,1545,27,290,523,409,737,665,845,1122,989,1084,1217,487,68,731,1441,1114,2035,2167,2580,2665,54066
TWO WHEELER (Invalid Carriage),14,14,7,14,22,6,9,11,22,9,34,10,14,15,30,18,0,0,6,8,3,3,2,9,15,8,14,3,0,8,31,29,4,5,5,18,420
TWO WHEELER(NT),85621,79287,87130,94286,99348,82228,79662,79459,63278,110225,188212,95718,73468,80253,139763,24864,9545,45858,62261,58070,45268,62565,125099,99780,60931,61501,65775,48800,18800,59780,67269,57001,48470,65553,141309,60987,2727424
TWO WHEELER(T),340,393,366,323,292,237,220,188,337,779,546,289,264,272,356,79,0,26,39,43,39,58,71,54,52,56,64,34,2,38,38,37,48,76,55,78,6189
Total,118533,109272,117650,123782,129081,107738,106350,101166,81472,141304,221597,123752,105436,110713,172155,33048,14567,63867,87826,77404,66514,88493,156888,132884,89592,91371,96303,69557,24794,85455,99243,81667,73362,90887,172089,90496,3656308
