"Vehicle Category and Month Wise Data for Rajasthan (2025-2026)"\n\nVehicle Category,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
FOUR WHEELER (Invalid Carriage),11,23,18,16,25,17,18,30,13,17,24,17,9,15,10,17,14,14,19,13,2,342
HEAVY GOODS VEHICLE,3145,2491,2946,3025,2270,2074,2087,1841,1837,2867,2815,3033,3190,3370,3393,3043,2095,1847,2199,2212,367,52147
HEAVY MOTOR VEHICLE,24,11,18,17,20,24,13,7,13,20,22,16,12,10,13,23,7,16,13,8,1,308
HEAVY PASSENGER VEHICLE,64,59,52,68,47,39,94,215,183,73,17,9,76,21,195,50,37,80,168,137,26,1710
LIGHT GOODS VEHICLE,3909,3287,3305,3134,2826,2467,2648,2735,2731,5878,3953,3015,4564,4186,4085,3785,3577,3595,3785,3506,616,71587
LIGHT MOTOR VEHICLE,39954,24581,26126,27694,26093,27880,27171,23653,23621,50643,37884,31174,43693,32345,37457,34005,34900,35676,34169,28269,4816,651804
LIGHT PASSENGER VEHICLE,1866,1334,1318,1556,1368,1343,1920,1660,1373,2218,1066,1133,2063,1656,1830,1892,1909,1826,2278,1909,282,33800
MEDIUM GOODS VEHICLE,58,50,73,76,70,60,58,44,66,63,74,49,65,115,78,90,71,56,58,75,11,1360
MEDIUM MOTOR VEHICLE,53,57,56,37,29,50,29,24,23,33,45,47,50,51,65,52,60,49,49,24,3,886
MEDIUM PASSENGER VEHICLE,88,88,114,161,114,129,358,256,115,142,81,74,93,110,110,196,131,180,184,209,40,2973
OTHER THAN MENTIONED ABOVE,676,555,644,574,558,660,361,340,360,617,418,455,570,606,720,548,517,614,494,495,132,10914
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,1,2,0,49,0,0,0,0,0,0,0,0,0,0,52
THREE WHEELER(NT),1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5
THREE WHEELER(T),3767,3266,3089,2842,3388,3286,3976,3490,3525,5470,4471,3538,4156,4168,4073,4129,4698,4751,5818,4815,707,81423
TWO WHEELER (Invalid Carriage),35,184,483,133,195,96,35,22,76,148,317,647,97,327,544,308,15,32,33,128,0,3855
TWO WHEELER(NT),74029,66910,78617,86541,81810,70667,73629,78630,73199,232519,201354,57057,94662,81012,107236,102574,95813,85185,92718,94020,19377,1947559
TWO WHEELER(T),88,68,58,48,83,63,182,158,172,216,117,198,100,90,137,96,103,81,199,223,39,2519
Total,127768,102964,116917,125922,118896,108855,112581,113106,107309,300924,252707,100462,153401,128082,159946,150808,143948,134002,142184,136043,26419,2863244
