"Vehicle Category and Month Wise Data for Sikkim (2022-2024)"\n\nVehicle Category,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
FOUR WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
HEAVY GOODS VEHICLE,26,35,38,43,39,55,25,18,23,6,15,16,27,17,46,11,22,10,8,14,24,7,15,20,29,36,29,15,24,17,15,5,27,40,24,17,838
HEAVY MOTOR VEHICLE,4,8,0,0,0,4,0,0,2,0,0,4,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,34
HEAVY PASSENGER VEHICLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3
LIGHT GOODS VEHICLE,35,35,29,30,20,39,22,21,19,6,8,16,11,9,15,13,20,16,12,11,7,2,8,11,8,13,10,20,18,7,20,13,11,11,11,18,575
LIGHT MOTOR VEHICLE,226,318,311,304,297,329,343,308,393,255,304,204,311,242,306,302,289,323,267,309,328,242,302,226,288,256,312,288,384,316,285,278,328,343,272,278,10667
LIGHT PASSENGER VEHICLE,43,62,75,81,132,123,103,123,189,94,120,89,111,132,215,151,170,140,113,161,182,147,105,93,139,126,145,99,137,118,100,142,156,162,105,125,4508
MEDIUM GOODS VEHICLE,10,9,19,14,14,6,3,10,4,1,3,10,4,4,8,5,8,2,2,2,2,1,0,2,5,5,2,2,3,6,2,5,1,4,2,5,185
MEDIUM MOTOR VEHICLE,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,0,0,1,0,0,12
MEDIUM PASSENGER VEHICLE,0,3,2,5,3,3,0,4,3,2,1,5,0,2,0,2,1,2,1,1,0,0,1,0,0,4,0,1,0,1,0,2,0,1,4,0,54
OTHER THAN MENTIONED ABOVE,2,3,8,4,4,11,1,0,3,0,3,4,1,2,4,3,0,5,6,1,0,3,0,1,2,4,5,4,3,2,2,6,3,3,4,5,112
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(T),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWO WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWO WHEELER(NT),398,378,441,445,451,419,405,392,435,359,430,267,470,312,443,459,504,513,418,462,533,394,467,363,511,406,393,441,637,590,496,513,465,541,493,432,16076
TWO WHEELER(T),0,4,18,9,9,10,4,2,8,11,0,6,0,11,10,7,3,2,3,3,12,4,3,2,0,1,5,1,2,1,3,1,1,3,0,0,159
Total,744,855,941,935,970,999,906,879,1079,734,885,622,937,732,1050,953,1017,1013,831,965,1088,800,901,718,983,854,901,873,1210,1058,926,965,992,1109,915,885,33225
