"Vehicle Category and Month Wise Data for Sikkim (2025-2026)"\n\nVehicle Category,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
FOUR WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
HEAVY GOODS VEHICLE,19,21,51,10,13,2,39,12,9,15,12,12,17,26,31,23,17,17,34,31,14,425
HEAVY MOTOR VEHICLE,0,0,1,0,0,1,0,1,0,2,0,0,0,2,2,0,0,0,1,0,0,10
HEAVY PASSENGER VEHICLE,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
LIGHT GOODS VEHICLE,10,15,25,11,17,9,10,16,11,9,11,13,9,30,11,16,14,19,21,11,6,294
LIGHT MOTOR VEHICLE,243,252,278,268,287,247,289,257,239,282,287,298,381,296,324,333,333,327,318,280,48,5867
LIGHT PASSENGER VEHICLE,92,99,146,114,93,71,88,95,119,87,91,58,82,95,124,110,112,105,108,116,24,2029
MEDIUM GOODS VEHICLE,1,1,4,2,0,4,4,0,1,4,1,1,2,1,4,1,2,1,0,2,1,37
MEDIUM MOTOR VEHICLE,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,4
MEDIUM PASSENGER VEHICLE,1,5,3,2,4,3,1,6,0,0,2,1,1,3,1,2,1,0,3,1,1,41
OTHER THAN MENTIONED ABOVE,4,1,9,6,1,7,1,1,1,2,0,3,4,4,4,0,1,1,4,8,0,62
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(T),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWO WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TWO WHEELER(NT),363,490,355,479,549,469,554,410,524,602,573,452,667,537,613,589,614,624,626,578,100,10768
TWO WHEELER(T),0,0,1,0,0,0,0,1,1,3,6,1,5,5,3,1,10,12,0,14,0,63
Total,733,884,874,899,964,813,986,799,906,1007,984,839,1168,999,1117,1075,1104,1106,1116,1042,194,19609
