"Vehicle Category and Month Wise Data for Telangana (2025-2026)"\n\nVehicle Category,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
FOUR WHEELER (Invalid Carriage),43,29,26,30,29,23,37,17,18,18,29,29,21,16,13,8,2,4,15,27,2,436
HEAVY GOODS VEHICLE,681,765,640,746,626,474,569,518,492,698,806,848,781,927,1004,749,691,567,777,709,0,14068
HEAVY MOTOR VEHICLE,19,23,23,24,27,17,15,5,23,18,19,22,27,24,27,20,15,6,9,4,1,368
HEAVY PASSENGER VEHICLE,216,203,260,191,243,215,178,143,19,49,102,162,212,187,128,81,117,39,10,46,0,2801
LIGHT GOODS VEHICLE,2014,1724,1839,1764,1611,1655,1730,1762,1563,2894,2417,1892,2296,2229,1960,1765,1470,1746,2152,1310,0,37793
LIGHT MOTOR VEHICLE,23523,15981,16671,17608,17302,15945,16190,15533,15273,20229,24365,19144,25337,19399,21401,13684,27289,23163,21851,17455,2761,390104
LIGHT PASSENGER VEHICLE,803,936,1045,766,852,1311,1089,727,918,1151,1362,1155,1028,1339,1436,963,957,1431,1171,696,0,21136
MEDIUM GOODS VEHICLE,271,227,205,163,178,146,162,121,138,157,161,169,179,233,212,189,111,116,148,110,0,3396
MEDIUM MOTOR VEHICLE,41,70,111,49,48,38,26,41,62,154,100,117,79,141,279,109,71,61,30,39,2,1668
MEDIUM PASSENGER VEHICLE,109,138,244,167,265,744,257,157,160,85,88,130,80,94,180,108,299,696,242,138,0,4381
OTHER THAN MENTIONED ABOVE,5,7,5,9,8,30,11,13,6,5,5,11,6,2,0,20,122,121,180,160,28,754
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
THREE WHEELER(T),3052,3179,3274,2956,3253,3515,3774,9466,9581,6518,3738,2506,3339,3454,3125,3178,3488,4253,5293,3577,0,84519
TWO WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,58,0,60
TWO WHEELER(NT),57868,50242,53701,54106,55247,54883,55539,51147,47678,70889,85222,66412,61078,57245,62277,61590,65563,60608,71785,61384,11933,1216397
TWO WHEELER(T),60,289,1129,544,92,153,446,149,479,155,639,507,415,477,266,175,83,183,64,374,0,6679
Total,88705,73813,79173,79123,79781,79149,80023,79800,76410,103020,119053,93104,94878,85767,92308,82639,100279,92994,103729,86087,14727,1784562
