"Vehicle Category and Month Wise Data for Tamil Nadu (2022-2024)"\n\nVehicle Category,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
FOUR WHEELER (Invalid Carriage),14,16,16,14,21,24,19,27,21,33,27,15,14,26,31,21,20,19,26,36,26,24,29,17,28,35,37,27,28,25,34,26,21,20,19,20,856
HEAVY GOODS VEHICLE,1031,1180,1391,1365,1434,1285,1270,1344,1338,1165,1145,970,1423,1405,1799,1843,1297,1352,1239,1531,1347,1418,1276,976,1277,1402,1515,1786,1303,1181,1513,1294,1294,1150,1058,995,47592
HEAVY MOTOR VEHICLE,13,12,18,16,16,22,16,21,35,38,45,32,49,45,59,48,51,62,67,60,65,52,23,11,13,19,14,23,18,18,27,20,29,19,14,15,1105
HEAVY PASSENGER VEHICLE,7,10,36,16,25,39,52,63,60,72,99,206,135,69,92,84,79,113,116,165,178,176,128,127,342,310,287,257,323,348,689,424,465,789,427,421,7229
LIGHT GOODS VEHICLE,3949,3611,4412,3961,3589,3784,3798,3918,4375,3517,4003,3535,4760,4166,4971,3883,3627,3893,4152,3904,3989,4063,2773,3005,4160,4102,3728,3693,3297,2746,3600,3021,3112,2929,2938,2668,133632
LIGHT MOTOR VEHICLE,22522,19795,23945,19280,21424,22554,19780,22930,23199,19464,22050,21416,26257,21494,25281,20903,23204,25355,22561,24582,23110,28699,20092,19650,28285,24402,23552,22174,21509,20168,23648,22207,21789,22192,20485,21212,811170
LIGHT PASSENGER VEHICLE,424,325,679,687,696,550,568,547,758,731,763,755,836,614,772,609,701,879,971,1911,1889,2152,1805,1796,2709,2458,2775,2947,3192,3275,3245,2660,2736,2606,2867,1997,55885
MEDIUM GOODS VEHICLE,670,615,608,703,576,586,536,550,552,482,482,428,563,561,642,684,580,487,629,537,525,581,537,479,584,559,521,646,522,478,617,573,639,586,461,461,20240
MEDIUM MOTOR VEHICLE,134,120,160,147,123,163,156,135,114,73,98,80,106,98,126,133,104,102,120,121,111,109,80,59,102,98,112,106,92,62,77,64,88,52,39,67,3731
MEDIUM PASSENGER VEHICLE,51,86,75,108,79,262,214,210,239,144,139,127,71,101,159,157,296,466,361,222,170,145,150,111,84,155,104,174,312,441,368,207,178,183,99,102,6550
OTHER THAN MENTIONED ABOVE,347,286,307,308,262,292,285,307,313,293,287,246,333,403,414,454,357,379,382,464,427,431,285,314,385,507,518,421,330,312,390,396,440,466,341,361,13043
THREE WHEELER (Invalid Carriage),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,5
THREE WHEELER(NT),25,12,26,23,18,19,23,15,19,20,24,13,20,21,33,18,21,27,37,25,21,28,24,24,17,29,23,26,38,43,32,29,37,42,46,21,919
THREE WHEELER(T),1400,1446,2036,1469,1565,1973,1399,2246,2173,1821,2397,2138,2406,3197,4031,3408,2303,4636,4408,4622,4006,3996,3965,3510,4353,5503,4967,4522,4111,4594,5568,4574,4381,4320,4452,3687,121583
TWO WHEELER (Invalid Carriage),298,442,1040,876,393,192,71,72,42,117,59,100,22,358,1087,917,700,228,159,131,56,61,51,29,123,1628,2385,826,416,196,177,63,146,42,229,1023,14755
TWO WHEELER(NT),124404,108840,124270,106626,102561,110721,103783,120306,121785,111494,120101,77846,135758,118388,119372,94798,109316,121443,119310,128993,116059,131638,121916,82735,153611,143519,124094,121950,119587,122084,139197,128428,122895,119318,135548,79151,4241845
TWO WHEELER(T),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,155289,136796,159020,135599,132782,142466,131970,152691,155023,139464,151719,107907,172753,150946,158869,127960,142656,159441,154538,167305,151979,173573,153134,112843,196073,184726,164632,159578,155079,155971,179182,163987,158250,154714,169024,112201,5480140
