"Vehicle Category and Month Wise Data for Tamil Nadu (2025-2026)"\n\nVehicle Category,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
FOUR WHEELER (Invalid Carriage),34,22,23,21,22,31,34,23,28,19,36,32,29,26,39,34,34,40,39,32,5,603
HEAVY GOODS VEHICLE,1320,1297,1326,1753,1255,1330,1498,1099,1063,1262,1375,1299,1625,1782,2117,1940,1412,1336,1561,1590,241,29481
HEAVY MOTOR VEHICLE,35,25,35,32,14,23,11,5,9,8,10,25,20,15,31,21,27,20,24,21,4,415
HEAVY PASSENGER VEHICLE,277,342,463,538,650,716,663,1036,368,290,401,685,592,774,498,523,513,541,276,506,48,10700
LIGHT GOODS VEHICLE,3968,3317,3203,3532,2830,3045,3646,3049,3335,4332,3911,4281,5709,4861,5222,4851,3560,4807,5833,4575,772,82639
LIGHT MOTOR VEHICLE,33163,20358,22240,25601,19839,22163,24864,23327,21595,32045,26115,34153,38219,28893,32043,32609,27284,33039,35608,31819,4393,569370
LIGHT PASSENGER VEHICLE,4101,2435,2573,3036,2623,2812,2956,2646,2505,3775,3114,3216,2675,4583,4517,4340,3513,4414,3972,4871,545,69222
MEDIUM GOODS VEHICLE,647,562,602,664,490,487,594,526,548,645,599,721,912,1022,952,920,602,750,884,785,121,14033
MEDIUM MOTOR VEHICLE,72,82,90,57,59,60,45,25,48,35,34,38,67,65,82,83,30,32,54,24,4,1086
MEDIUM PASSENGER VEHICLE,154,145,134,186,329,601,411,323,232,250,323,152,91,142,240,241,290,648,406,269,37,5604
OTHER THAN MENTIONED ABOVE,601,507,518,529,336,513,369,395,438,471,435,427,734,605,670,605,383,481,574,538,82,10211
THREE WHEELER (Invalid Carriage),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
THREE WHEELER(NT),33,31,40,93,80,48,42,73,97,181,73,46,42,37,52,48,33,44,80,67,8,1248
THREE WHEELER(T),4402,4572,4832,4525,4172,4554,4663,4365,4093,4527,4694,4917,5738,5791,5505,5466,4322,5546,5972,5669,822,99147
TWO WHEELER (Invalid Carriage),1076,2009,4946,1018,601,289,356,314,501,347,1114,2698,2004,4541,828,95,29,42,53,125,7,22993
TWO WHEELER(NT),159951,125924,116251,125443,113204,132303,140138,130933,119216,182993,155602,122975,200985,183119,176362,162335,142352,185626,194248,174003,25155,3069118
TWO WHEELER(T),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Total,209834,161628,157277,167028,146505,168975,180290,168139,154076,231180,197836,175665,259442,236256,229158,214111,184384,237366,249584,224895,32244,3985873
