"Vehicle Category and Month Wise Data for Tripura (2016-2018)"\n\nVehicle Category,2016-Jan,2016-Feb,2016-Mar,2016-Apr,2016-May,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Oct,2016-Nov,2016-Dec,2017-Jan,2017-Feb,2017-Mar,2017-Apr,2017-May,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Oct,2017-Nov,2017-Dec,2018-Jan,2018-Feb,2018-Mar,2018-Apr,2018-May,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Oct,2018-Nov,2018-Dec,Total
FOUR WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEAVY GOODS VEHICLE,58,57,67,32,24,22,20,29,24,31,23,39,37,61,43,49,20,21,24,22,9,22,15,21,39,32,26,24,25,3,18,18,26,28,14,17,1040
HEAVY MOTOR VEHICLE,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,9
HEAVY PASSENGER VEHICLE,1,0,1,3,1,3,0,1,0,1,1,1,1,1,0,4,3,1,1,2,1,0,0,0,2,0,0,0,4,0,1,0,1,1,1,2,39
LIGHT GOODS VEHICLE,108,126,156,126,167,115,114,110,128,141,113,126,126,130,213,229,117,112,107,98,96,144,202,188,214,175,166,161,213,150,133,157,149,129,177,184,5300
LIGHT MOTOR VEHICLE,446,297,276,324,334,347,251,305,351,389,304,344,408,370,354,360,403,392,409,355,356,526,511,383,499,404,423,341,542,512,336,390,357,348,429,377,13753
LIGHT PASSENGER VEHICLE,24,14,14,13,20,29,14,20,32,20,10,10,20,14,9,19,17,16,31,25,16,26,19,17,21,6,16,19,14,18,9,43,39,13,41,16,704
MEDIUM GOODS VEHICLE,37,46,42,25,27,20,14,12,25,27,35,29,32,44,44,61,10,7,9,9,10,11,28,23,37,32,32,27,9,9,12,12,15,13,20,23,868
MEDIUM MOTOR VEHICLE,0,1,0,1,3,1,0,0,2,1,0,0,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,19
MEDIUM PASSENGER VEHICLE,21,9,6,24,10,50,2,7,6,3,7,1,5,1,37,3,1,0,2,4,1,4,5,2,9,5,2,4,1,2,6,3,5,4,7,12,271
OTHER THAN MENTIONED ABOVE,5,11,11,8,8,4,2,3,3,4,4,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,73
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(T),222,236,179,324,453,378,196,217,247,199,147,121,89,118,146,148,245,183,263,414,290,406,396,305,362,410,342,287,312,208,86,92,58,40,38,42,8199
TWO WHEELER (Invalid Carriage),0,1,0,0,0,1,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
TWO WHEELER(NT),2241,2324,2524,2008,2223,2688,2166,2253,3067,2992,3273,2388,1958,2349,2255,3460,2582,2475,2887,2709,2447,4226,4626,3694,3629,4012,4053,3956,4881,4074,3226,4412,4557,4382,5359,4017,116373
TWO WHEELER(T),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,3163,3122,3276,2888,3271,3658,2780,2958,3885,3808,3917,3063,2684,3093,3101,4333,3398,3207,3734,3638,3227,5365,5803,4633,4813,5076,5061,4819,6001,4977,3828,5129,5207,4960,6089,4690,146655
