"Vehicle Category and Month Wise Data for Tripura (2025-2026)"\n\nVehicle Category,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
FOUR WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEAVY GOODS VEHICLE,52,50,161,44,29,35,23,49,46,79,88,107,128,90,74,70,49,44,34,29,6,1287
HEAVY MOTOR VEHICLE,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,5
HEAVY PASSENGER VEHICLE,0,0,3,0,0,2,0,0,0,0,0,2,0,0,30,0,0,1,0,0,0,38
LIGHT GOODS VEHICLE,156,146,165,117,120,145,107,102,110,175,144,172,184,166,145,105,145,143,130,123,10,2810
LIGHT MOTOR VEHICLE,502,371,516,475,379,370,409,429,391,641,500,609,537,507,632,646,611,519,596,646,27,10313
LIGHT PASSENGER VEHICLE,9,106,93,74,36,106,48,51,33,43,32,57,7,37,69,35,45,43,37,56,1,1018
MEDIUM GOODS VEHICLE,18,14,19,12,12,16,9,18,10,15,22,17,21,21,11,16,20,30,19,6,4,330
MEDIUM MOTOR VEHICLE,15,15,43,18,13,32,7,9,13,10,17,15,19,27,25,13,13,12,12,14,3,345
MEDIUM PASSENGER VEHICLE,3,9,9,3,2,14,3,3,1,1,1,1,7,33,14,3,3,2,5,1,0,118
OTHER THAN MENTIONED ABOVE,3,4,4,2,5,7,7,2,2,1,5,2,3,2,7,16,2,1,4,1,1,81
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(T),1162,1262,1126,891,809,1217,1091,827,833,1016,883,897,900,1095,933,730,802,972,924,1001,124,19495
TWO WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWO WHEELER(NT),2943,2785,2931,2668,2601,2662,2620,2377,2374,3892,3780,3123,3017,2767,2905,2742,2657,2852,2973,2947,316,57932
TWO WHEELER(T),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,4864,4762,5070,4304,4006,4607,4324,3867,3814,5873,5472,5002,4823,4745,4845,4376,4347,4620,4734,4825,492,93772
