"Vehicle Category and Month Wise Data for Uttarakhand (2016-2018)"\n\nVehicle Category,2016-Jan,2016-Feb,2016-Mar,2016-Apr,2016-May,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Oct,2016-Nov,2016-Dec,2017-Jan,2017-Feb,2017-Mar,2017-Apr,2017-May,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Oct,2017-Nov,2017-Dec,2018-Jan,2018-Feb,2018-Mar,2018-Apr,2018-May,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Oct,2018-Nov,2018-Dec,Total
FOUR WHEELER (Invalid Carriage),0,0,0,1,0,0,0,0,0,0,2,0,1,1,1,4,4,0,1,0,0,3,0,0,1,1,0,0,0,1,1,0,0,2,1,0,25
HEAVY GOODS VEHICLE,175,200,189,227,193,204,125,123,166,195,225,162,160,174,329,275,93,109,147,137,170,184,239,184,259,255,299,263,186,195,184,163,222,262,241,292,7206
HEAVY MOTOR VEHICLE,0,2,2,4,3,1,0,1,2,2,4,2,1,2,3,1,1,0,2,0,0,2,2,0,2,0,1,4,4,2,2,1,1,5,0,3,62
HEAVY PASSENGER VEHICLE,10,16,31,17,35,15,15,43,185,244,102,14,23,13,50,59,25,13,23,16,14,18,18,11,16,15,21,57,15,18,5,10,14,8,4,5,1198
LIGHT GOODS VEHICLE,319,300,304,296,321,295,254,237,280,292,310,228,297,273,349,330,603,287,310,284,448,756,1393,801,582,529,433,470,445,385,444,334,433,654,589,552,15417
LIGHT MOTOR VEHICLE,4032,3271,3306,3284,3618,3410,3454,2879,2917,3476,4228,2533,4645,3658,4022,3800,3959,3620,4524,3356,3078,4025,5609,4357,4987,4029,4046,4340,4194,3546,4206,3250,2996,4315,4911,6062,139943
LIGHT PASSENGER VEHICLE,373,312,317,341,380,329,289,243,289,319,315,184,369,282,476,423,459,297,325,270,294,353,418,297,505,394,552,633,505,430,431,358,373,327,413,374,13249
MEDIUM GOODS VEHICLE,47,66,69,67,56,56,40,54,61,73,71,45,87,71,95,51,27,16,30,28,44,54,64,60,87,78,69,58,78,53,51,33,67,95,55,121,2177
MEDIUM MOTOR VEHICLE,0,0,0,0,3,4,0,4,4,0,2,2,3,0,3,0,0,0,0,1,1,0,2,0,0,1,1,2,2,6,5,2,1,2,2,3,56
MEDIUM PASSENGER VEHICLE,15,12,25,26,43,24,25,16,21,30,20,12,19,12,36,37,59,19,40,34,11,25,18,13,17,10,19,43,28,20,18,24,17,12,10,12,822
OTHER THAN MENTIONED ABOVE,3,1,6,3,2,2,3,1,3,4,2,0,5,4,2,12,2,3,5,1,6,3,4,11,5,3,8,8,3,5,3,5,6,4,8,5,151
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(T),131,159,145,153,164,223,239,409,330,304,257,164,331,329,533,527,500,469,620,501,431,441,535,446,532,389,467,434,558,526,690,616,611,660,498,748,15070
TWO WHEELER (Invalid Carriage),0,2,1,1,3,3,1,3,3,2,5,1,4,1,0,1,0,1,1,0,5,0,1,0,1,3,0,1,2,1,6,2,4,4,2,3,68
TWO WHEELER(NT),13739,11375,12593,12930,15094,14799,14746,12414,14139,15002,22406,10138,13423,12319,15125,17503,16498,15067,16824,15882,12593,16445,28209,16718,16066,14601,14878,16784,18531,15676,19689,16653,14424,18088,22737,21367,575475
TWO WHEELER(T),19,2,5,13,17,5,1,9,3,13,9,6,9,3,11,18,14,7,7,4,3,5,9,5,2,10,26,28,14,14,24,12,15,23,23,25,413
Total,18863,15718,16993,17363,19932,19370,19192,16436,18403,19956,27958,13491,19377,17142,21035,23041,22244,19908,22859,20514,17098,22314,36521,22903,23062,20318,20820,23125,24565,20878,25759,21463,19184,24461,29494,29572,771332
