"Vehicle Category and Month Wise Data for Uttar Pradesh (2019-2021)"\n\nVehicle Category,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec,Total
FOUR WHEELER (Invalid Carriage),4,3,4,5,5,5,4,4,0,1,5,6,7,7,3,1,2,5,3,7,6,6,9,10,13,18,24,18,4,19,18,11,18,12,16,17,300
HEAVY GOODS VEHICLE,2514,2174,2219,2247,2021,1490,1276,1108,1178,1187,1241,941,1222,1352,1518,472,1,20,71,208,284,554,649,963,1329,1366,1641,1242,534,800,807,866,1145,1433,1270,1315,40658
HEAVY MOTOR VEHICLE,15,10,15,17,12,12,15,17,7,23,27,17,27,21,22,15,0,8,14,8,20,24,21,47,40,63,55,25,16,37,30,35,106,93,132,177,1223
HEAVY PASSENGER VEHICLE,395,250,312,310,321,191,318,307,293,341,238,164,309,509,804,436,0,1,4,6,6,19,28,17,18,44,68,62,15,40,51,29,49,80,57,170,6262
LIGHT GOODS VEHICLE,5295,4832,4592,5124,4971,4118,3790,3872,3783,3999,5600,4105,5258,5229,6832,3985,54,932,1888,2105,2521,2740,3729,3752,3695,3470,3736,2631,949,2512,2985,2992,3401,2972,3588,4229,130266
LIGHT MOTOR VEHICLE,44478,36634,37000,34006,34336,30483,31282,28497,23688,30444,43880,35478,44770,38355,36987,7522,4563,22938,32219,30454,31631,29438,40856,54469,46847,41575,44743,29495,17489,35795,39884,34769,32659,28471,35340,47687,1219162
LIGHT PASSENGER VEHICLE,1608,1710,2062,1962,1968,1549,2260,2182,1846,1771,1685,1192,1725,1438,1458,862,34,158,228,239,247,255,359,411,416,429,582,388,153,368,459,394,384,321,386,654,34143
MEDIUM GOODS VEHICLE,342,249,257,252,236,203,206,161,199,188,215,170,207,255,253,161,7,20,33,52,84,109,184,172,264,240,331,244,46,142,168,211,250,250,254,270,6885
MEDIUM MOTOR VEHICLE,158,135,151,98,128,144,142,155,139,131,157,130,194,116,178,85,6,121,136,105,236,199,181,362,290,268,355,127,42,154,171,129,155,87,130,156,5651
MEDIUM PASSENGER VEHICLE,178,194,271,333,375,203,333,350,226,177,163,154,152,224,454,275,0,0,1,9,4,13,15,11,9,27,66,22,9,22,18,28,28,31,33,59,4467
OTHER THAN MENTIONED ABOVE,359,320,333,313,427,350,255,236,252,267,327,296,256,244,369,198,29,206,216,251,393,251,199,325,409,461,641,232,57,281,294,314,624,288,245,487,11005
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),1,0,1,1,3,0,1,1,0,3,0,3,0,1,1,2,0,0,0,0,1,0,0,0,1,1,1,0,1,0,2,0,3,0,0,0,28
THREE WHEELER(T),8854,6999,7116,7026,7634,7727,9017,8964,8640,9568,10914,10038,10947,10060,8447,3201,259,2328,3081,2951,3935,3544,4712,5977,7171,6952,7875,4602,1155,4592,7074,7864,9891,10373,11119,13698,254305
TWO WHEELER (Invalid Carriage),31,32,34,25,38,27,38,38,42,21,35,45,40,33,56,53,1,3,9,16,19,18,17,32,37,27,37,16,6,28,45,32,33,23,21,43,1051
TWO WHEELER(NT),200763,193822,231944,227986,236720,255848,262032,223921,191269,183481,263968,264914,241599,216396,339349,162819,11840,134433,163517,129472,128187,116780,160497,322806,212477,143627,176325,137831,147449,264390,215183,146733,132953,129864,225323,268544,7065062
TWO WHEELER(T),245,71,42,18,19,18,19,14,22,9,3,4,5,3,0,11,0,0,0,0,0,0,0,0,0,1,0,0,1,19,0,0,0,1,0,155,680
Total,265240,247435,286353,279723,289214,302368,310988,269827,231584,231611,328458,317657,306718,274243,396731,180098,16796,161173,201420,165883,167574,153950,211456,389354,273016,198569,236480,176935,167926,309199,267189,194407,181699,174299,277914,337661,8781148
