"Vehicle Category and Month Wise Data for West Bengal (2022-2024)"\n\nVehicle Category,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
FOUR WHEELER (Invalid Carriage),0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,0,2,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,14
HEAVY GOODS VEHICLE,927,1202,1576,1553,1214,1072,1079,1194,1158,687,1271,810,1075,1095,1176,1206,1096,974,932,1108,941,1172,1168,1217,1374,1194,1118,1244,1115,943,1010,914,864,796,943,1003,39421
HEAVY MOTOR VEHICLE,8,10,25,20,17,25,14,10,11,6,4,13,3,14,8,10,8,6,16,16,6,30,15,21,13,17,32,29,34,23,28,16,27,14,17,10,576
HEAVY PASSENGER VEHICLE,11,10,17,27,16,21,17,27,29,10,20,10,28,45,36,23,61,28,24,37,45,44,48,72,88,44,74,43,89,43,70,44,57,45,70,62,1435
LIGHT GOODS VEHICLE,2403,2278,2849,2282,1953,2405,2249,2120,2495,1106,1894,1475,1522,1433,1679,1247,1343,1199,1350,1425,1406,1256,1312,1400,1415,1523,1382,1553,1389,1206,1533,1373,1481,1269,1433,1368,59006
LIGHT MOTOR VEHICLE,8789,8114,9437,8955,9067,9280,9528,10186,12179,6736,11003,9061,9601,8820,9613,8399,9162,9356,8957,9925,9412,10106,10185,9088,10898,9374,8266,10053,9086,8626,11786,9616,10506,11075,9869,9625,343739
LIGHT PASSENGER VEHICLE,257,260,321,311,376,451,452,470,584,215,569,335,578,674,975,682,899,729,766,880,954,1005,845,882,971,932,1300,960,870,918,1152,1043,1003,1102,925,858,26504
MEDIUM GOODS VEHICLE,56,67,50,68,69,47,53,105,68,26,77,45,70,76,92,94,71,54,67,72,60,87,61,86,93,96,118,148,148,134,153,135,149,94,131,90,3110
MEDIUM MOTOR VEHICLE,5,16,20,19,13,14,12,2,8,11,11,24,32,16,36,38,39,36,41,41,37,38,39,51,24,42,39,76,54,48,43,45,34,34,39,74,1151
MEDIUM PASSENGER VEHICLE,11,16,20,35,46,71,69,56,39,30,56,22,35,84,78,97,99,59,50,73,82,61,74,57,63,69,164,205,151,103,99,106,99,103,85,95,2662
OTHER THAN MENTIONED ABOVE,54,70,109,69,67,64,75,63,74,25,96,102,93,86,111,108,150,118,93,122,109,104,138,175,165,184,154,151,144,144,145,98,99,108,114,160,3941
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(T),535,678,663,495,401,534,523,536,608,274,541,636,595,797,830,846,884,871,935,1132,1407,1780,1235,1636,1381,1810,2079,1391,1366,1253,2094,2854,3393,2633,3057,4309,46992
TWO WHEELER (Invalid Carriage),1,1,1,1,2,2,0,0,1,1,0,0,1,2,2,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,21
TWO WHEELER(NT),61081,56944,73789,68907,68731,67887,62631,62213,64271,50692,100517,69011,52438,67212,73699,54205,77487,64868,67379,64199,58374,65493,97247,90099,72375,73988,69754,82986,85929,79216,96271,70485,71117,96596,110269,81609,2629969
TWO WHEELER(T),6,7,7,7,8,4,4,11,9,5,10,9,3,3,6,7,9,13,9,6,11,4,9,10,5,12,218,11,3,8,17,95,13,7,12,7,585
Total,74144,69674,88884,82749,81980,81877,76706,76993,81535,59824,116070,81553,66074,80358,88341,66962,91311,78311,80621,79037,72846,81181,112377,104795,88867,89285,84699,98850,100378,92666,114401,86824,88842,113876,126965,99270,3159126
