"Vehicle Category and Month Wise Data for West Bengal (2025-2026)"\n\nVehicle Category,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
FOUR WHEELER (Invalid Carriage),0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4
HEAVY GOODS VEHICLE,1065,908,1057,1141,765,741,884,768,724,673,1158,1051,1180,1282,1341,1239,1063,1089,1049,811,182,20171
HEAVY MOTOR VEHICLE,20,13,6,8,12,18,4,1,4,0,3,2,1,1,1,1,2,0,2,5,1,105
HEAVY PASSENGER VEHICLE,74,44,65,85,79,73,107,69,96,61,59,76,121,87,85,49,70,125,79,66,19,1589
LIGHT GOODS VEHICLE,1649,1534,1583,1545,1510,1394,1576,1410,1722,1583,1820,1702,1955,1879,1787,1584,1533,1903,1825,1669,377,33540
LIGHT MOTOR VEHICLE,12413,8895,9571,10905,9330,10027,11347,9416,10552,11780,12727,12720,13336,11434,11458,10583,10937,12594,13154,11353,2260,226792
LIGHT PASSENGER VEHICLE,1424,1098,1303,1455,1169,1384,1914,1436,1448,1090,1686,1370,1751,1672,1820,1104,1558,1968,1712,1818,266,30446
MEDIUM GOODS VEHICLE,163,116,162,158,160,142,145,131,165,155,244,272,282,300,277,251,253,251,252,236,54,4169
MEDIUM MOTOR VEHICLE,39,40,26,16,20,24,12,8,4,7,7,10,7,14,15,9,8,7,8,7,4,292
MEDIUM PASSENGER VEHICLE,195,223,196,167,119,108,130,92,117,52,80,167,86,111,99,83,109,128,72,55,17,2406
OTHER THAN MENTIONED ABOVE,181,149,166,162,159,246,81,73,89,111,121,148,173,187,188,148,82,111,88,89,19,2771
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
THREE WHEELER(T),4551,3750,3669,2886,3409,3308,4298,3871,4495,3248,13107,29216,19072,13246,8758,6603,6978,9381,10343,7411,1508,163108
TWO WHEELER (Invalid Carriage),1,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6
TWO WHEELER(NT),75376,70843,77197,91908,92433,83829,70420,60565,70550,131134,113977,84983,83122,83499,92580,89280,95531,101286,94199,66495,12596,1741803
TWO WHEELER(T),16,13,15,11,89,16,42,7,76,8,1,43,1,26,88,0,0,22,60,2,0,536
Total,97167,87627,95018,110447,109256,101310,90961,77847,90042,149902,144991,131760,121089,113738,118497,110934,118124,128866,122843,90017,17303,2227739
