"Fuel and Month Wise Data for Andhra Pradesh (2025-2026)"\n\nFuel,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,843,817,710,702,736,917,824,749,512,1225,1144,608,669,1083,1007,882,744,1120,1073,905,188,17458
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,7801,8496,9036,8953,8452,9222,9005,8633,6809,13086,14177,9060,8972,11698,11865,11869,11319,14298,13712,11774,2270,210507
DIESEL/HYBRID,20,8,9,11,8,12,12,21,19,29,40,21,24,18,25,24,18,26,20,31,5,401
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),1009,1376,1032,835,784,757,927,912,780,840,1007,647,493,738,855,787,686,950,785,878,132,17210
ETHANOL(E100),0,0,0,2,1,2,2,3,2,2,2,0,1,0,1,0,0,0,0,0,0,18
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
LPG ONLY,0,0,1,0,0,0,0,0,1,0,5,2,0,0,1,0,0,0,0,1,0,11
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,735,935,1064,780,67,102,213,176,213,278,411,582,508,766,706,778,657,567,415,819,152,10924
PETROL,49466,54648,46627,53381,40384,35480,32832,35002,22838,67156,55143,15423,16334,19904,23568,20985,18071,20224,21143,21131,3186,672926
PETROL(E20),1544,1926,2027,4879,10942,15553,17096,19799,15736,44547,48843,30963,37893,44915,51283,49267,41883,47717,48315,46448,7725,589301
PETROL(E20)/CNG,0,0,0,2,1,1,0,4,1,19,318,637,853,731,1013,1150,1068,1460,1130,1297,213,9898
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,1,0,23,262,398,591,442,547,630,511,580,533,745,128,5391
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,2,2,4,4,1,0,18
PETROL(E20)/LPG,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
PETROL/CNG,689,608,564,613,523,491,545,611,565,854,851,178,168,109,76,43,36,64,52,54,8,7702
PETROL/HYBRID,690,510,375,452,362,363,335,400,309,474,522,161,137,95,74,107,103,91,99,59,8,5726
PETROL/HYBRID/CNG,2,5,1,1,3,1,0,2,0,0,1,0,0,2,1,0,0,0,0,0,0,19
PETROL/LPG,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
PURE EV,1804,3061,3832,4043,3738,3788,3781,3782,3461,6426,6872,4347,4730,6051,8905,8559,8693,10746,11189,10408,1973,120189
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,178,131,162,181,161,174,156,156,129,178,233,152,168,152,202,195,184,208,168,172,37,3477
Total,64782,72521,65441,74835,66162,66864,65729,70252,51375,135137,129832,63184,71542,86704,100130,95278,83975,98055,98638,94725,16026,1671187
