"Fuel and Month Wise Data for Arunachal Pradesh (2022-2024)"\n\nFuel,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,0,0,0,1,0,0,0,1,0,0,0,3,1,0,0,0,1,1,0,0,0,0,0,0,5,0,0,2,49,19,3,2,0,0,0,0,88
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,404,426,472,542,586,752,662,540,532,429,586,462,524,442,656,533,716,671,669,769,728,648,692,632,685,695,775,710,877,607,614,611,645,753,785,715,22545
DIESEL/HYBRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,5
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,4,4,2,1,4,5,4,1,2,1,3,6,2,4,4,4,1,57
ETHANOL(E100),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG ONLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,0,0,6,3,2,5,6,7,4,4,5,1,0,2,6,0,5,5,10,16,14,15,11,9,8,9,13,9,29,21,9,11,10,15,10,13,293
PETROL,1493,1344,1604,1616,1945,1894,1800,1880,1695,1357,1887,1502,1345,1399,1798,1481,1746,1701,1800,1853,1689,1845,2061,1970,1535,1653,1674,1851,3076,2259,2042,1965,1776,1898,2018,1901,64353
