"Fuel and Month Wise Data for Arunachal Pradesh (2025-2026)"\n\nFuel,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,0,0,5,0,0,1,0,0,0,5,0,0,0,3,10,3,0,0,0,0,0,27
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,808,759,785,933,979,1022,900,933,784,968,917,939,927,1097,1017,975,946,985,1022,893,172,18761
DIESEL/HYBRID,0,0,0,1,1,1,8,14,7,10,10,7,9,9,10,11,9,11,7,6,1,132
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),1,2,4,3,1,4,3,3,0,0,0,4,3,0,19,1,4,4,1,0,0,57
ETHANOL(E100),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG ONLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,9,11,12,7,8,7,7,3,6,12,15,12,9,12,14,14,17,20,27,6,0,228
PETROL,1804,1596,1693,1912,1689,1526,1752,1449,1120,1605,765,490,432,458,489,489,513,559,485,458,72,21356
PETROL(E20),178,174,237,321,498,783,1315,1264,983,1216,1703,1772,1901,1632,1772,2129,2019,2151,2154,2012,295,26509
PETROL(E20)/CNG,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,7,6,4,2,1,24
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,1,7,110,170,129,141,140,147,133,134,124,113,18,1367
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/CNG,0,0,2,1,2,2,0,2,0,1,0,1,2,1,0,0,0,0,0,0,0,14
PETROL/HYBRID,104,89,104,117,106,131,155,115,140,131,61,23,40,23,28,37,38,46,49,23,6,1566
PETROL/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURE EV,2,7,2,8,16,4,12,5,3,9,5,5,9,7,9,11,3,11,18,18,2,166
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,14,8,12,10,10,13,10,13,4,11,9,11,15,11,14,21,18,16,8,21,3,252
Total,2920,2646,2856,3313,3310,3494,4162,3801,3048,3975,3595,3435,3476,3396,3522,3840,3707,3943,3899,3552,570,70460
