"Fuel and Month Wise Data for Bihar (2022-2024)"\n\nFuel,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,1085,929,1336,995,1139,1292,1583,2083,2798,2036,1859,1556,1682,1576,1749,1471,1540,2005,2349,2677,3524,3822,3192,2237,2196,1977,1992,1833,2366,2150,2449,2453,2624,3050,3113,1982,74700
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,6811,5773,8189,6553,6116,7035,7444,7016,8759,8512,9067,6241,6744,6656,7838,6825,7246,7783,7508,5555,6867,6650,8161,6567,6513,6554,7509,6583,6776,6432,6737,5648,6262,7870,8369,6313,253482
DIESEL/HYBRID,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,0,1,0,2,0,0,1,0,15
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),3029,2768,4735,2808,3307,3899,3982,5480,7065,6193,6111,6377,5023,5865,6500,5228,6672,6140,7607,7806,9393,9728,8954,9301,8377,7715,9545,7112,7924,7908,8848,8437,8707,8864,7691,6396,241495
ETHANOL(E100),0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,13
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG ONLY,15,24,26,9,20,25,24,38,79,104,95,112,77,117,108,84,137,185,208,227,339,394,383,337,295,262,295,291,390,480,567,619,509,433,437,269,8014
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,641,683,797,497,611,614,583,642,527,423,873,627,607,832,572,522,591,582,454,484,361,397,323,531,528,361,447,346,482,455,240,341,378,443,570,546,18911
PETROL,55005,63297,88541,85751,117110,82770,65451,66801,56579,92496,113539,62451,67006,80804,94285,86222,126852,92912,70525,59345,65746,66472,150785,90892,72782,84233,101886,124035,94491,93208,85996,65904,60021,87576,189063,59203,3120035
PETROL(E20),0,0,0,0,0,0,0,0,0,0,0,0,0,37,627,796,1338,1218,1453,1497,1646,1684,3319,2008,1640,1850,2254,2420,2107,2259,2183,1865,1625,2514,3857,1704,41901
PETROL(E20)/CNG,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PETROL(E20)/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/CNG,352,500,642,632,610,429,413,403,407,478,419,387,499,336,346,346,509,499,454,570,500,719,883,424,773,678,714,777,797,779,920,882,902,1943,1307,902,23131
PETROL/HYBRID,259,236,179,123,390,245,343,452,473,621,596,373,622,652,600,451,482,540,404,337,342,417,585,348,519,612,569,574,485,477,492,444,416,779,559,344,16340
PETROL/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4
PETROL/LPG,1,0,2,2,2,0,1,5,1,3,3,0,3,4,11,9,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURE EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,143,853,1106,1486,1852,2184,2937,2603,2151,15333
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,26,24,24,25,40,21,25,57,32,283
Total,67199,74211,104450,97372,129305,96309,79824,82920,76688,110866,132562,78124,82264,96879,112636,101956,145371,111867,90964,78498,88720,90283,176587,112646,93623,104244,125238,144141,116695,115279,109943,88487,83649,116436,217631,79848,3813715
