"Fuel and Month Wise Data for Haryana (2022-2024)"\n\nFuel,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,2465,2075,2468,2689,2068,1842,2051,1887,1948,2102,2577,2295,2239,2572,2940,2365,2958,2411,2538,2557,2024,1717,1952,2116,3045,2426,2838,2128,2901,2166,2199,2101,2924,3065,3445,2664,86758
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,9365,8857,10997,10589,11343,10450,10250,10594,9193,10342,11040,10008,11374,11304,12317,13004,12495,13128,6583,10930,11317,11067,10730,12190,12688,11526,12417,12808,11974,11535,10993,11468,11796,11981,12220,11328,402201
DIESEL/HYBRID,0,0,0,0,0,2,0,3,3,4,3,5,7,9,12,5,2,4,1,5,4,5,7,19,13,26,11,39,18,29,20,9,12,14,20,8,319
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),1293,1261,1785,1977,2280,2196,2030,2381,2254,2746,3055,2587,2218,2318,2645,2641,3105,2467,2183,2477,2112,2718,2411,3290,3594,3031,3603,2592,2832,2217,2198,2380,2291,2308,2317,1917,87710
ETHANOL(E100),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,2,0,0,0,0,2,11
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9
LPG ONLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,0,15,16,13,15,20,13,16,14,21,24,31,51,34,65,24,53,57,42,53,42,22,9,4,24,19,14,18,19,26,27,18,19,27,21,16,902
PETROL,38416,34359,39572,38446,40661,38968,39099,41880,32033,48529,67430,46121,42413,40743,43253,44296,43402,42620,20298,48513,55203,46213,52444,70489,55210,48760,51023,46566,43977,48514,41566,54832,52016,67389,93721,56959,1715934
PETROL(E20),0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,95,164,133,103,343,415,396,460,710,497,539,604,368,643,496,448,544,583,727,863,598,9755
PETROL(E20)/CNG,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,14
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/HYBRID/CNG,0,1,0,0,0,1,1,0,0,0,0,0,0,1,3,1,2,2,0,1,2,1,0,0,1,1,2,0,0,0,0,1,1,1,0,0,23
PETROL(E20)/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/CNG,3458,3639,4482,3892,4177,3643,3914,3894,3060,4403,4878,3893,6008,3896,4200,4458,5138,5786,4037,7000,6339,4986,5772,6293,7880,6593,6406,6398,6056,6375,6808,7146,6814,10181,7318,7254,196475
PETROL/HYBRID,466,409,417,430,665,666,707,1099,972,1797,1698,1429,2002,2054,2527,2459,2001,1686,1012,2054,1986,1567,1560,1752,2160,2374,1841,1883,1442,1632,1360,1362,1342,1731,1478,1666,53686
PETROL/HYBRID/CNG,0,0,2,1,4,6,9,9,4,7,16,5,15,15,21,10,14,5,9,22,4,3,4,6,13,6,6,4,9,10,10,5,7,13,6,9,289
PETROL/LPG,26,21,26,23,31,30,16,19,15,19,19,15,33,28,26,18,17,15,12,11,21,12,9,15,13,28,12,11,15,15,11,16,17,8,13,11,647
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4
PURE EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,25,75,178,719,842,1868,1606,2897,2079,1432,11730
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,266,311,360,469,544,668,673,710,760,4809
Total,55489,50638,59766,58061,61244,57825,58090,61783,49497,69971,90740,66389,66361,62974,68034,69376,69353,68322,36819,73966,79469,68708,75359,96893,85138,75329,78851,73158,70379,74097,66953,82294,80098,101017,124211,84629,2571281
