"Fuel and Month Wise Data for Karnataka (2019-2021)"\n\nFuel,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,1,4,3,4,26,20,29,21,14,13,11,6,17,13,144,4,16,30,23,10,19,16,15,22,35,84,150,148,6,81,231,367,519,578,633,626,3939
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,21770,19061,20316,16155,16881,16822,16503,15460,14353,15826,18360,13446,21435,19365,23517,1851,2396,7565,8770,9581,11516,11499,12820,10745,15416,13154,14751,10345,942,4743,15247,14683,14646,11951,10923,12842,485656
DIESEL/HYBRID,529,531,630,390,354,249,143,111,86,116,117,51,129,74,98,15,0,0,0,2,16,5,1,0,3,0,0,1,1,0,1,2,0,0,1,0,3656
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),370,360,1084,196,334,666,500,406,351,437,725,707,1204,739,890,5,331,493,438,648,776,1251,1336,1571,1781,1697,2657,1774,144,688,3857,3657,4095,4155,3885,4885,49093
ETHANOL(E100),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
