"Fuel and Month Wise Data for Kerala (2025-2026)"\n\nFuel,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,1114,831,824,697,775,760,775,929,711,949,934,792,1009,858,875,694,821,898,788,766,137,16937
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,5741,4542,4983,5108,5678,5797,5864,6358,5244,7233,6901,6813,7832,7441,7468,6836,7136,8060,8292,6495,1181,131003
DIESEL/HYBRID,27,19,17,31,28,27,50,45,50,73,49,44,46,33,45,49,46,47,49,26,1,802
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),2619,1891,2121,1717,1879,1952,1978,2102,1829,1725,1490,1137,1115,1040,1243,1236,1096,1143,830,522,104,30769
ETHANOL(E100),9,6,9,8,7,8,4,15,11,7,3,2,0,0,2,0,0,0,0,0,0,91
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG ONLY,5,0,3,0,0,1,0,3,0,3,3,0,2,1,1,0,0,1,0,0,0,23
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
PETROL,51564,38506,42956,38762,37374,33600,34255,43333,35580,50692,26365,18256,17280,16216,16805,14782,16167,17793,16915,17324,3420,587945
PETROL(E20),4108,3487,5545,9706,13788,14479,15634,22435,20072,26346,31320,40430,50970,42450,46008,42681,46286,49016,48524,58851,12599,604735
PETROL(E20)/CNG,0,1,0,1,0,2,1,1,4,13,661,1273,1231,1256,1734,1478,1608,1919,1598,1679,329,14789
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,39,557,1184,1678,1174,1605,1448,1508,1647,1638,1914,300,14692
PETROL(E20)/HYBRID/CNG,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
PETROL(E20)/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/CNG,896,624,643,832,813,828,881,1356,892,1982,829,174,124,106,82,58,51,42,52,25,7,11297
PETROL/HYBRID,2158,1338,1353,1848,1606,1554,1505,1674,1624,1841,1238,759,857,576,545,545,566,561,489,337,48,23022
PETROL/HYBRID/CNG,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
PETROL/LPG,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
PURE EV,5497,4678,7906,5985,7071,6750,6933,8833,8107,7579,7363,7827,9257,8785,11820,10533,11459,12883,13748,14569,2804,180387
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,649,530,590,724,773,771,779,817,808,812,816,725,977,654,745,767,702,810,822,584,63,14918
Total,74393,56454,66950,65420,69793,66529,68659,87901,74933,99294,78530,79416,92380,80590,88978,81107,87446,94820,93745,103094,20993,1631425
