"Fuel and Month Wise Data for Maharashtra (2025-2026)"\n\nFuel,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,8598,6583,7609,7382,5893,6114,6653,6321,5535,9220,7821,6287,8260,7757,7364,5738,3732,4435,4670,3961,662,130595
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,36872,25134,34806,29416,25760,26815,26175,26905,25713,46436,56300,44599,43159,31385,33085,30431,25050,26465,29316,26902,5700,656424
DIESEL/HYBRID,165,97,140,104,87,109,156,148,141,228,135,117,179,138,192,110,124,119,148,145,39,2821
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,15,24
ELECTRIC(BOV),5359,3166,3989,2575,2456,2370,2884,2442,1772,2215,1960,1650,1800,1558,2510,2129,1544,1926,1490,878,191,46864
ETHANOL(E100),40,18,23,28,19,20,19,17,7,19,8,3,1,1,0,1,0,0,0,0,1,225
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,91,30,124
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,25,49,24,10,25,47,35,36,40,43,24,56,5,0,15,30,98,0,1,29,592
LPG ONLY,822,594,629,588,621,622,657,564,554,793,805,640,885,908,547,451,119,102,108,59,8,11076
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,1769,1219,1500,1239,1189,1050,1041,1224,1783,2288,2595,2885,2304,1628,1351,1192,883,953,899,695,191,29878
PETROL,184871,130051,155367,175984,126133,109065,113382,114191,95045,218661,152500,51516,71563,59075,69521,58629,53043,53384,53856,52978,10651,2109466
PETROL(E20),5737,4744,9897,24614,34616,38268,44733,48298,45019,106717,144016,123157,160844,129756,155864,153433,121084,120606,127339,127253,27304,1753299
PETROL(E20)/CNG,1,2,5,6,8,11,10,14,243,1218,9860,10334,18645,14015,20447,17124,15926,16671,18588,18642,2453,164223
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,24,296,1358,1440,1912,1193,1595,1371,1165,1058,1198,1662,227,14499
PETROL(E20)/HYBRID/CNG,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,7
PETROL(E20)/LPG,0,0,0,1,0,1,0,1,0,1,34,23,48,22,10,7,2,0,0,0,0,150
PETROL/CNG,24272,11967,19922,15155,13286,13703,15653,16372,14739,28097,8073,5625,6998,3067,2016,1599,1316,1413,1798,1516,335,206922
PETROL/HYBRID,2694,1133,1910,1617,1395,1279,1613,1674,1239,2438,569,515,741,419,570,492,420,514,515,366,81,22194
PETROL/HYBRID/CNG,2,0,2,1,0,1,2,3,1,1,1,0,1,1,0,1,0,0,0,0,0,17
PETROL/LPG,77,45,58,38,35,43,34,50,52,102,35,26,36,7,3,3,2,4,0,0,0,650
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,3,3,4,3,0,2,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,20
PURE EV,16878,12508,29488,17080,17247,17904,17690,20136,18151,28289,20778,17569,23376,18689,35881,27894,27264,33260,35370,31060,6721,473233
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,1558,894,1585,1298,1054,1161,1295,1277,977,1868,1346,1389,1808,1328,1592,1469,1235,1307,1444,1110,195,27190
Total,289718,198183,266984,277153,229809,218564,232054,239673,211031,448928,408237,267800,342617,270953,332549,302090,252940,262315,276743,267319,54833,5650493
