"Fuel and Month Wise Data for Madhya Pradesh (2022-2024)"\n\nFuel,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,190,148,106,143,190,165,182,121,146,144,144,116,94,833,1095,501,820,870,1128,1026,1049,1077,1161,774,859,898,733,637,773,893,1105,1057,1148,2613,2784,1323,27046
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,14822,12461,17445,10173,14238,13775,18040,19456,9247,11991,17732,18364,18092,17910,22844,8313,16435,20019,18134,16853,12962,14303,16414,18612,20610,18263,18392,15195,15957,16097,18523,14240,13868,17942,19295,19318,586335
DIESEL/HYBRID,0,0,0,0,0,0,0,1,0,2,2,3,8,12,1,2,1,1,3,3,4,2,5,3,20,39,13,18,6,1,1,3,7,13,9,2,185
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),1539,1606,2500,2023,2303,2542,2870,3065,3579,4844,5326,4621,4106,3865,6185,3437,6372,4422,5465,7217,6124,6295,8205,6282,6904,7034,8825,4568,4919,4641,5764,4366,3911,4973,4784,2981,168463
ETHANOL(E100),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG ONLY,1,0,0,0,0,1,1,0,0,1,1,0,3,12,7,9,10,15,11,15,32,8,17,10,14,8,11,6,7,17,4,19,6,10,11,6,273
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,246,228,288,229,174,167,160,101,14,16,23,59,37,3,4,8,12,54,50,15,11,43,24,19,34,49,59,22,20,25,14,8,16,30,27,38,2327
PETROL,81846,75991,82139,81488,102258,90005,87074,105652,57946,147401,133369,69679,88810,82547,106536,69303,100665,84829,75724,77945,79343,106227,213014,91642,99914,94675,98067,127761,98222,83488,85338,76218,63762,145848,242965,66676,3574367
PETROL(E20),0,0,0,0,0,0,0,0,0,0,0,0,0,1,149,194,272,377,453,637,748,903,1461,890,944,842,864,910,820,643,843,757,621,1187,1862,567,16945
PETROL(E20)/CNG,0,0,2,1,3,2,3,3,4,1,0,0,2,5,3,2,2,1,4,2,2,1,0,2,7,9,2,3,1,2,0,1,1,4,1,3,79
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/HYBRID/CNG,1,0,0,0,2,2,0,0,1,0,2,0,0,4,0,0,0,1,1,2,1,0,2,0,0,1,0,2,0,0,2,0,0,1,0,1,26
PETROL(E20)/LPG,0,0,0,0,0,0,1,1,0,0,0,0,1,0,3,0,1,0,0,0,2,0,1,1,2,0,0,0,1,2,3,0,1,3,1,0,24
PETROL/CNG,1776,1546,1683,1877,1929,2013,1827,2386,1820,2730,2162,1807,2525,2126,1365,1053,1456,1597,1807,1937,2107,2273,2568,1498,3568,3582,2908,3292,2060,2314,2922,2784,2263,5809,2808,2200,82378
PETROL/HYBRID,259,284,255,169,444,346,308,794,684,1472,818,914,1424,1659,1325,840,858,858,769,738,810,836,896,551,1148,1250,1039,1045,592,621,718,718,617,1517,699,573,28848
PETROL/HYBRID/CNG,3,4,4,0,6,4,6,11,5,10,11,8,14,21,12,7,4,7,10,6,7,6,10,4,15,10,8,10,7,5,10,7,7,21,5,7,292
PETROL/LPG,368,277,272,339,369,340,341,467,291,426,156,217,287,187,260,138,137,165,156,150,135,150,160,111,218,132,192,177,116,132,189,197,156,340,140,144,8032
