"Fuel and Month Wise Data for Puducherry (2025-2026)"\n\nFuel,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,6,8,10,9,14,56,8,0,4,5,9,2,11,18,14,10,12,15,18,6,6,241
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,362,335,307,353,264,310,360,263,226,302,248,276,326,326,318,325,305,360,331,356,73,6326
DIESEL/HYBRID,5,4,7,6,6,8,3,3,5,8,6,4,5,6,8,5,8,6,7,4,1,115
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),113,73,82,80,76,51,60,33,28,61,34,31,66,55,96,49,31,54,56,46,12,1187
ETHANOL(E100),1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG ONLY,0,0,0,1,0,0,0,0,0,0,0,0,3,7,1,0,1,0,1,1,0,15
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL,6133,4146,4244,3987,3235,3119,3194,2669,2447,3644,2126,1889,2955,2296,2238,2153,2024,2459,2479,2149,298,59884
PETROL(E20),495,363,471,1137,1687,1905,2093,1923,1917,2841,2785,2895,5189,3758,3914,3590,3418,4186,4293,4080,711,53651
PETROL(E20)/CNG,0,0,0,0,0,0,0,0,1,1,30,29,67,54,59,70,72,75,83,86,8,635
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,1,9,88,81,146,90,124,109,99,136,123,158,35,1199
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/CNG,76,49,39,55,39,34,50,31,43,42,19,11,15,12,9,2,8,2,12,6,1,555
PETROL/HYBRID,177,106,97,120,83,72,102,96,108,62,37,31,26,23,20,15,13,33,30,15,2,1268
PETROL/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
PURE EV,288,294,311,267,273,339,439,285,330,327,363,368,522,429,884,502,543,624,670,624,98,8780
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,23,28,54,60,42,41,38,30,30,44,36,41,52,42,58,52,39,63,38,36,5,852
Total,7679,5407,5622,6076,5720,5935,6349,5334,5141,7346,5781,5658,9383,7116,7743,6882,6573,8013,8141,7567,1250,134716
