"Fuel and Month Wise Data for Rajasthan (2016-2018)"\n\nFuel,2016-Jan,2016-Feb,2016-Mar,2016-Apr,2016-May,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Oct,2016-Nov,2016-Dec,2017-Jan,2017-Feb,2017-Mar,2017-Apr,2017-May,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Oct,2017-Nov,2017-Dec,2018-Jan,2018-Feb,2018-Mar,2018-Apr,2018-May,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Oct,2018-Nov,2018-Dec,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,24,4,28,9,12,18,8,6,6,7,9,9,12,26,49,29,7,13,16,4,37,58,29,22,42,25,39,17,9,17,10,10,15,30,22,14,692
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,17375,19235,19118,14891,18493,17969,16670,14176,14894,17682,19568,18029,13365,16350,25374,17827,16127,16933,17292,12356,17456,16836,21602,18906,19147,19313,21214,16932,17939,15247,18579,16053,12865,19654,21341,18386,635194
DIESEL/HYBRID,23,36,43,61,52,54,91,74,48,119,47,137,204,193,257,211,224,308,181,159,170,310,298,256,322,314,363,280,420,317,360,312,255,381,363,370,7613
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),234,269,289,388,334,421,256,363,408,389,311,336,39,157,373,377,353,315,432,295,287,374,545,400,739,346,199,61,54,166,245,445,374,644,649,755,12622
ETHANOL(E100),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG ONLY,1,0,0,0,0,2,1,1,0,0,3,1,0,3,1,2,4,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,26
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,44,62,581,143,114,88,110,403,663,371,363,514,473,394,348,447,274,305,476,363,1136,1364,621,397,241,166,210,123,143,72,95,51,35,45,35,31,11301
PETROL,81044,80973,72925,80580,92813,79677,82648,74861,73539,130175,131443,101443,72312,81200,115898,102452,91013,82833,77671,69586,83239,136323,143881,93335,91298,86368,99932,85976,106445,88339,97026,92049,87467,100623,180144,116679,3464210
PETROL(E20),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
PETROL(E20)/CNG,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,9
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/LPG,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,10
PETROL/CNG,377,421,352,363,428,405,427,412,425,595,567,452,532,581,543,459,533,449,454,401,535,566,613,499,622,611,656,497,738,600,656,570,458,693,965,706,19161
PETROL/HYBRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,1,1,1,0,1,1,0,2,2,0,3,0,1,28,62,96,132,151,490
PETROL/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
PETROL/LPG,1056,1018,998,854,930,1138,1370,1343,1247,1365,1374,1034,1020,1319,1299,991,1068,1132,1159,1017,1116,1127,1404,975,1013,1088,1106,1044,1151,1010,1164,1181,756,1103,1232,1078,40280
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURE EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SOLAR,0,0,0,1,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8
STRONG HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,100178,102018,94338,97290,113176,99773,101582,91641,91232,150703,153685,121956,87957,100225,144143,122802,109605,102292,97683,84183,103980,156958,168994,114792,113426,108233,123721,104930,126903,105770,118138,110700,102290,123270,204885,138174,4191626
