"Fuel and Month Wise Data for Tripura (2025-2026)"\n\nFuel,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,388,464,277,114,111,437,257,120,77,77,47,82,261,438,172,84,81,87,84,52,4,3714
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,250,303,480,254,196,297,209,217,196,292,319,372,356,357,398,353,225,251,245,233,23,5826
DIESEL/HYBRID,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),756,745,782,421,295,335,351,305,307,435,310,222,174,202,284,165,199,270,223,253,59,7093
ETHANOL(E100),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG ONLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL,2889,2673,2875,2588,2195,1928,1724,1420,1164,1880,1439,778,845,703,654,665,648,728,664,700,91,29251
PETROL(E20),233,238,221,232,488,831,1017,1087,1308,2166,2450,2499,2308,2226,2421,2290,2160,2181,2396,2380,226,31358
PETROL(E20)/CNG,0,0,0,0,0,0,0,0,0,0,150,294,239,250,312,314,353,329,362,393,15,3011
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,0,20,21,37,22,29,23,22,18,10,17,1,220
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/CNG,258,244,273,272,227,253,229,230,243,416,123,71,58,35,25,13,18,9,11,14,1,3023
PETROL/HYBRID,24,17,23,23,28,12,26,19,16,26,6,8,6,6,5,4,1,0,1,2,1,254
PETROL/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURE EV,65,77,136,398,466,514,509,466,501,579,605,649,534,504,542,459,636,746,737,776,69,9968
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,1,1,3,2,0,0,2,3,2,2,3,5,4,2,3,6,4,1,1,2,0,47
Total,4864,4762,5070,4304,4006,4607,4324,3867,3814,5873,5472,5002,4823,4745,4845,4376,4347,4620,4734,4825,492,93772
