"Fuel and Month Wise Data for Uttar Pradesh (2019-2021)"\n\nFuel,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,538,416,456,502,396,325,451,402,324,277,320,238,298,346,694,574,36,209,311,367,562,811,1090,943,995,1734,2162,1496,431,1382,2346,2807,3645,3628,4171,4128,39811
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,37419,32107,32462,30276,30056,27056,28958,28088,24236,26110,33687,28845,35790,32301,34577,12297,2537,13051,19835,19269,21639,18695,19731,29032,27896,26291,27853,16099,8319,20112,22417,20810,19788,14764,16466,27156,866025
DIESEL/HYBRID,780,769,630,504,446,257,189,109,96,128,178,97,112,57,34,12,0,0,0,0,1,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,4404
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),5078,3945,4303,3723,3781,3952,4659,4761,4852,5276,5689,5725,5481,4861,3418,328,165,1678,2141,2023,2680,2061,2721,3690,4427,4437,5229,3097,641,2851,4780,5681,7314,8100,8600,11531,153679
ETHANOL(E100),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG ONLY,0,0,0,0,0,0,0,0,0,0,0,0,0,1,85,9,10,56,143,121,198,177,223,180,9,12,9,138,77,178,217,276,338,262,340,272,3331
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,80,79,77,83,64,41,41,47,120,115,95,116,81,66,56,4,3,30,21,20,45,41,50,50,43,30,37,12,2,14,18,11,18,16,24,20,1670
PETROL,214923,205258,243580,239330,248772,265773,271494,231764,197793,194288,281756,277688,257725,230967,353342,165613,13643,144237,176290,141249,139261,128793,182410,348881,232604,160418,194786,151978,156250,280437,231331,159535,146129,143757,243487,288933,7544475
PETROL(E20),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PETROL(E20)/CNG,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/HYBRID/CNG,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
PETROL(E20)/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/CNG,4893,3743,3749,4122,4317,3819,3865,3522,2896,3996,4946,3648,5755,4285,3228,996,257,1238,1880,2017,2317,2519,3942,4723,5104,4204,4834,3204,1776,3123,4675,4162,3386,2587,3292,4247,125267
PETROL/HYBRID,510,386,416,419,490,392,393,351,393,549,746,425,462,406,570,83,92,526,648,694,731,711,1091,1537,1330,911,1046,708,353,898,1192,938,910,1107,1446,1307,25167
PETROL/HYBRID/CNG,6,2,5,1,4,3,3,3,4,6,7,3,3,2,2,1,0,1,2,9,7,5,4,10,11,9,8,2,0,6,8,7,5,9,9,10,177
PETROL/LPG,1010,722,671,760,887,746,933,772,868,865,1033,864,1010,947,721,181,53,147,149,113,133,136,193,306,597,521,516,199,77,198,205,180,166,69,79,56,17083
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURE EV,3,7,4,2,1,4,2,8,2,1,0,8,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,265240,247435,286353,279723,289214,302368,310988,269827,231584,231611,328458,317657,306718,274243,396731,180098,16796,161173,201420,165883,167574,153950,211456,389354,273016,198569,236480,176935,167926,309199,267189,194407,181699,174299,277914,337661,8781148
