"Fuel and Month Wise Data for Uttar Pradesh (2025-2026)"\n\nFuel,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,5557,4464,4770,4744,4425,3894,4371,3858,3389,4974,4535,3385,5060,3961,4110,4862,4114,4049,4739,3945,584,87790
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,32914,25731,26612,27235,26177,22488,23306,21137,19496,28090,29112,26598,39464,31996,30597,29952,27911,26197,29788,26604,3756,555161
DIESEL/HYBRID,19,13,17,24,21,28,47,40,56,84,100,67,79,113,73,83,71,91,90,68,3,1187
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),20800,17475,18456,23030,19709,14884,14602,12949,12048,12847,15791,11182,11622,10023,9032,9553,10240,10418,11335,9560,1456,277012
ETHANOL(E100),6,4,4,1,8,6,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,36
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,540,92,690
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,5
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,24,11,0,0,0,0,0,0,0,0,0,0,35
LPG ONLY,87,56,63,62,59,68,54,45,50,85,39,31,58,39,22,0,1,0,0,2,1,822
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,10,3,0,1,0,0,0,0,1,1,0,3,1,0,0,1,1,5,6,0,0,33
PETROL,217371,216693,220706,291076,257625,159885,119397,107520,93631,331169,272842,62199,118190,118211,134943,165693,160032,122388,91576,82268,16407,3359822
PETROL(E20),2338,3353,4251,28324,67674,56800,51349,51491,53965,185906,191189,97612,143865,134080,141748,164321,160311,134235,117820,106132,17464,1914228
PETROL(E20)/CNG,3,5,7,16,27,22,33,38,111,999,8111,6798,17511,12558,13746,13450,14186,15050,14397,13762,1835,132665
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,16,220,1164,1228,2650,1320,1356,1459,1217,1192,1147,1565,253,14787
PETROL(E20)/HYBRID/CNG,0,0,0,1,0,0,0,0,0,0,1,4,13,9,4,3,0,1,0,0,0,36
PETROL(E20)/LPG,0,0,0,0,0,1,0,0,0,0,7,6,32,11,5,1,4,2,0,0,0,69
PETROL/CNG,18045,11216,11036,12601,11049,10164,10878,10164,10026,20695,6511,3598,5428,2757,1390,1148,998,1049,1075,847,109,150784
PETROL/HYBRID,2886,1608,1374,1823,1298,1134,1088,977,823,1825,737,342,610,477,390,400,401,395,333,208,33,19162
PETROL/HYBRID/CNG,10,4,5,8,3,5,8,4,6,9,0,1,4,3,0,2,2,0,0,0,0,74
PETROL/LPG,80,51,51,42,32,25,22,15,34,64,14,6,25,4,2,1,0,0,0,0,0,468
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,1,2,5,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,15
PURE EV,11174,8839,15644,15251,18864,18256,20135,17998,17900,21610,27375,18542,22589,19549,28864,26333,31356,31925,36475,32721,4867,446267
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,1572,1164,1351,1470,1444,1415,1612,1567,1441,2697,574,734,1167,866,873,903,748,756,773,576,73,23776
Total,312873,290681,304352,405709,408416,289075,246908,227807,212994,611300,558113,232336,368368,335977,367155,418167,411593,347755,309613,278799,46933,6984924
